publication_id,item_id,scope_id,canonical_title,series_title,issue_number,publication_year,publication_date,industry_age,batman_era,format_type,continuity_type,new_or_reprint_content,required_or_optional,source_url,confidence,notes
PUB-BAT-ANN-0008,bronze_age_annuals,bronze_annuals,Batman Annual #8,Batman Annual,8,1982,1982,Bronze Age,Bronze Age Batman,Annual,main continuity,new story,recommended,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Included in existing Batman Annual complete-run reference.
PUB-BAT-ANN-0009,bronze_age_annuals,bronze_annuals,Batman Annual #9,Batman Annual,9,1983,1983,Bronze Age,Bronze Age Batman,Annual,main continuity,new story,recommended,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Included in existing Batman Annual complete-run reference.
PUB-BAT-ANN-0010,bronze_age_annuals,crisis_transition_annuals,Batman Annual #10,Batman Annual,10,1986,1986,Bronze Age / Modern transition,Crisis Transition,Annual,main continuity,new story,review,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Transition annual also appears in Modern local annual item.
PUB-BATO-ANN-0001,bronze_age_annuals,bronze_annuals,Batman and the Outsiders Annual #1,Batman and the Outsiders Annual,1,1984,1984,Bronze Age,Bronze Age Batman,Annual,main continuity,new story,recommended,https://en.wikipedia.org/wiki/List_of_Batman_comics,review,Verify exact annual count in a later Outsiders pass.
PUB-BATO-ANN-0002,bronze_age_annuals,bronze_annuals,Batman and the Outsiders Annual #2,Batman and the Outsiders Annual,2,1985,1985,Bronze Age,Bronze Age Batman,Annual,main continuity,new story,recommended,https://en.wikipedia.org/wiki/List_of_Batman_comics,review,Verify exact annual count in a later Outsiders pass.
PUB-UNTOLD-LEGEND-0001,bronze_age_specials_miniseries,bronze_specials_minis,The Untold Legend of the Batman #1,The Untold Legend Of the Batman,1,1980,1980,Bronze Age,Bronze Age Batman,Miniseries,main continuity/retelling,mixed new/reprint,required,https://en.wikipedia.org/wiki/List_of_Batman_comics,review,Three-issue miniseries; owned title spelling follows source collection.
PUB-UNTOLD-LEGEND-0002,bronze_age_specials_miniseries,bronze_specials_minis,The Untold Legend of the Batman #2,The Untold Legend Of the Batman,2,1980,1980,Bronze Age,Bronze Age Batman,Miniseries,main continuity/retelling,mixed new/reprint,required,https://en.wikipedia.org/wiki/List_of_Batman_comics,review,Three-issue miniseries; owned title spelling follows source collection.
PUB-UNTOLD-LEGEND-0003,bronze_age_specials_miniseries,bronze_specials_minis,The Untold Legend of the Batman #3,The Untold Legend Of the Batman,3,1980,1980,Bronze Age,Bronze Age Batman,Miniseries,main continuity/retelling,mixed new/reprint,required,https://en.wikipedia.org/wiki/List_of_Batman_comics,review,Three-issue miniseries; owned title spelling follows source collection.
PUB-BATMAN-SPECIAL-0001,bronze_age_specials_miniseries,bronze_specials_minis,Batman Special #1,Batman Special,1,1984,1984,Bronze Age,Bronze Age Batman,Special,main continuity,new story,recommended,https://en.wikipedia.org/wiki/List_of_Batman_comics,review,Verify contents/classification in a deeper Bronze specials pass.
PUB-DKR-0001,dark_knight_returns,bronze_specials_minis,The Dark Knight Returns #1,The Dark Knight Returns,1,1986,February 1986,Bronze Age / Modern transition,Crisis Transition,Prestige Mini-Series,alternate continuity,new story,recommended,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,verified,Four-issue prestige miniseries; influential but not main-continuity completion.
PUB-DKR-0002,dark_knight_returns,bronze_specials_minis,The Dark Knight Returns #2,The Dark Knight Returns,2,1986,1986,Bronze Age / Modern transition,Crisis Transition,Prestige Mini-Series,alternate continuity,new story,recommended,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,verified,Four-issue prestige miniseries; influential but not main-continuity completion.
PUB-DKR-0003,dark_knight_returns,bronze_specials_minis,The Dark Knight Returns #3,The Dark Knight Returns,3,1986,1986,Bronze Age / Modern transition,Crisis Transition,Prestige Mini-Series,alternate continuity,new story,recommended,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,verified,Four-issue prestige miniseries; influential but not main-continuity completion.
PUB-DKR-0004,dark_knight_returns,bronze_specials_minis,The Dark Knight Returns #4,The Dark Knight Returns,4,1986,June 1986,Bronze Age / Modern transition,Crisis Transition,Prestige Mini-Series,alternate continuity,new story,recommended,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,verified,Four-issue prestige miniseries; influential but not main-continuity completion.
PUB-SHADOW-BATMAN-0001,bronze_age_specials_miniseries,bronze_specials_minis,Shadow of the Batman #1,Shadow of the Batman,1,1985,1985,Bronze Age,Bronze Age Batman,Reprint Series,reprint,reprint,optional,https://en.wikipedia.org/wiki/List_of_Batman_comics,review,Physical publication tracked separately; not treated as new story membership.
PUB-SHADOW-BATMAN-0002,bronze_age_specials_miniseries,bronze_specials_minis,Shadow of the Batman #2,Shadow of the Batman,2,1985,1985,Bronze Age,Bronze Age Batman,Reprint Series,reprint,reprint,optional,https://en.wikipedia.org/wiki/List_of_Batman_comics,review,Physical publication tracked separately; not treated as new story membership.
PUB-SHADOW-BATMAN-0003,bronze_age_specials_miniseries,bronze_specials_minis,Shadow of the Batman #3,Shadow of the Batman,3,1985,1985,Bronze Age,Bronze Age Batman,Reprint Series,reprint,reprint,optional,https://en.wikipedia.org/wiki/List_of_Batman_comics,review,Physical publication tracked separately; not treated as new story membership.
PUB-SHADOW-BATMAN-0004,bronze_age_specials_miniseries,bronze_specials_minis,Shadow of the Batman #4,Shadow of the Batman,4,1985,1985,Bronze Age,Bronze Age Batman,Reprint Series,reprint,reprint,optional,https://en.wikipedia.org/wiki/List_of_Batman_comics,review,Physical publication tracked separately; not treated as new story membership.
PUB-SHADOW-BATMAN-0005,bronze_age_specials_miniseries,bronze_specials_minis,Shadow of the Batman #5,Shadow of the Batman,5,1985,1985,Bronze Age,Bronze Age Batman,Reprint Series,reprint,reprint,optional,https://en.wikipedia.org/wiki/List_of_Batman_comics,review,Physical publication tracked separately; not treated as new story membership.
