order_type,sequence,scope_id,item_id,work,issue_number,publication_id,role,continuity_status,continuity_confidence,source_url,notes
publication,001,extended_miller_dkr_related,spawn_batman_miller,Spawn/Batman,1,PUB-SPAWN-BATMAN-0001,optional_related,related/disputed,review,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,Published in 1994; cited as DKR-universe related but not necessary to the saga.
publication,010,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,1,PUB-ASBAR-0001,extended_related,unfinished extended continuity,review,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Published #1 of 10.
publication,011,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,2,PUB-ASBAR-0002,extended_related,unfinished extended continuity,review,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Published #2 of 10.
publication,012,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,3,PUB-ASBAR-0003,extended_related,unfinished extended continuity,review,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Published #3 of 10.
publication,013,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,4,PUB-ASBAR-0004,extended_related,unfinished extended continuity,review,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Published #4 of 10.
publication,014,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,5,PUB-ASBAR-0005,extended_related,unfinished extended continuity,review,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Published #5 of 10.
publication,015,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,6,PUB-ASBAR-0006,extended_related,unfinished extended continuity,review,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Published #6 of 10.
publication,016,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,7,PUB-ASBAR-0007,extended_related,unfinished extended continuity,review,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Published #7 of 10.
publication,017,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,8,PUB-ASBAR-0008,extended_related,unfinished extended continuity,review,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Published #8 of 10.
publication,018,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,9,PUB-ASBAR-0009,extended_related,unfinished extended continuity,review,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Published #9 of 10.
publication,019,extended_miller_dkr_related,all_star_batman_robin,All Star Batman & Robin the Boy Wonder,10,PUB-ASBAR-0010,extended_related,unfinished extended continuity,review,https://en.wikipedia.org/wiki/All_Star_Batman_%26_Robin%2C_the_Boy_Wonder,Published #10 of 10; planned completion unpublished.
publication,020,core_batman_saga,dark_knight_returns,The Dark Knight Returns,1,PUB-DKR-0001,core,core DKR continuity,verified,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,Original miniseries #1.
publication,021,core_batman_saga,dark_knight_returns,The Dark Knight Returns,2,PUB-DKR-0002,core,core DKR continuity,verified,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,Original miniseries #2.
publication,022,core_batman_saga,dark_knight_returns,The Dark Knight Returns,3,PUB-DKR-0003,core,core DKR continuity,verified,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,Original miniseries #3.
publication,023,core_batman_saga,dark_knight_returns,The Dark Knight Returns,4,PUB-DKR-0004,core,core DKR continuity,verified,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,Original miniseries #4.
publication,030,core_batman_saga,dark_knight_strikes_again,Batman: The Dark Knight Strikes Again,1,PUB-DK2-0001,core,core DKR continuity,verified,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,DK2 #1.
publication,031,core_batman_saga,dark_knight_strikes_again,Batman: The Dark Knight Strikes Again,2,PUB-DK2-0002,core,core DKR continuity,verified,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,DK2 #2.
publication,032,core_batman_saga,dark_knight_strikes_again,Batman: The Dark Knight Strikes Again,3,PUB-DK2-0003,core,core DKR continuity,verified,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,DK2 #3.
publication,040,complete_dkr_continuity,dark_knight_last_crusade,Dark Knight Returns: The Last Crusade,1,PUB-DKR-LAST-CRUSADE-0001,prequel,core DKR continuity,verified,https://en.wikipedia.org/wiki/The_Dark_Knight_Returns,Prequel one-shot published after DK2.
publication,050,core_batman_saga,dark_knight_master_race,Dark Knight III: The Master Race,1,PUB-DKIII-0001,core,core DKR continuity,verified,https://en.wikipedia.org/wiki/The_Dark_Knight_III%3A_The_Master_Race,DKIII #1.
publication,051,core_batman_saga,dark_knight_master_race,Dark Knight III: The Master Race,2,PUB-DKIII-0002,core,core DKR continuity,verified,https://en.wikipedia.org/wiki/The_Dark_Knight_III%3A_The_Master_Race,DKIII #2.
publication,052,core_batman_saga,dark_knight_master_race,Dark Knight III: The Master Race,3,PUB-DKIII-0003,core,core DKR continuity,verified,https://en.wikipedia.org/wiki/The_Dark_Knight_III%3A_The_Master_Race,DKIII #3.
publication,053,core_batman_saga,dark_knight_master_race,Dark Knight III: The Master Race,4,PUB-DKIII-0004,core,core DKR continuity,verified,https://en.wikipedia.org/wiki/The_Dark_Knight_III%3A_The_Master_Race,DKIII #4.
publication,054,core_batman_saga,dark_knight_master_race,Dark Knight III: The Master Race,5,PUB-DKIII-0005,core,core DKR continuity,verified,https://en.wikipedia.org/wiki/The_Dark_Knight_III%3A_The_Master_Race,DKIII #5.
publication,055,core_batman_saga,dark_knight_master_race,Dark Knight III: The Master Race,6,PUB-DKIII-0006,core,core DKR continuity,verified,https://en.wikipedia.org/wiki/The_Dark_Knight_III%3A_The_Master_Race,DKIII #6.
