item_id,item_name,item_type,parent_item_id,era,start_year,end_year,level_of_coverage,reading_order_verified,source_confidence,last_reviewed,notes
early_modern_local,Early Modern local,saga,,Modern local Era,1986,1990,Level A,No,partial,,Parent item for Year One through Tim Drake transition.
year_one,Batman: Year One,arc,early_modern_local,Modern local Era,1987,1987,Level B,No,verified,,Verified issue-level checklist in item_memberships.csv.
year_two,Batman: Year Two,arc,early_modern_local,Modern local Era,1987,1987,Level B,No,verified,,Verified issue-level checklist in item_memberships.csv.
second_chances_jason_todd,Post-Crisis Jason Todd / Second Chances,story_sequence,early_modern_local,Modern local Era,1986,1988,Level B,No,verified,,Verified useful Second Chances scope; roles distinguish origin/core/context rather than every intervening issue.
the_cult,Batman: The Cult,arc,early_modern_local,Modern local Era,1988,1988,Level A,No,partial,,Imported from existing collection story labels.
a_death_in_the_family,A Death in the Family,arc,early_modern_local,Modern local Era,1988,1989,Level B,No,verified,,Verified issue-level checklist in item_memberships.csv.
year_three,Batman: Year Three,arc,early_modern_local,Modern local Era,1989,1989,Level B,No,verified,,Verified issue-level checklist in item_memberships.csv.
a_lonely_place_of_dying,A Lonely Place of Dying,crossover,early_modern_local,Modern local Era,1989,1989,Level B,Yes,verified,,Verified complete cross-title reading order in item_memberships.csv.
venom,Venom,arc,knightfall_era,Modern local Era,1991,1991,Level A,No,partial,,Imported from collection story labels.
knightfall_era,Knightfall Era,saga,,Modern local Era,1992,1995,Level A,No,partial,,Parent for current imported Knightfall-to-KnightsEnd block and later phase research.
prelude_to_knightfall,Prelude to Knightfall,arc,knightfall_era,Modern local Era,1992,1993,Level B,No,verified,,Verified direct prelude scope including Bane setup Azrael setup and late Batman/Detective setup rows.
knightfall,Knightfall,crossover,knightfall_era,Modern local Era,1993,1993,Level A,No,partial,,Imported from existing collection story labels and Knight reading-order block.
knightquest,Knightquest,crossover,knightfall_era,Modern local Era,1993,1994,Level A,No,partial,,Existing data groups Crusade/Search together; phase split needs research.
knightquest_the_crusade,Knightquest: The Crusade,arc,knightfall_era,Modern local Era,1993,1994,Level A,No,needs_research,,Created as explicit phase placeholder pending verified membership.
knightquest_the_search,Knightquest: The Search,arc,knightfall_era,Modern local Era,1993,1994,Level A,No,needs_research,,Created as explicit phase placeholder pending verified membership.
knightsend,KnightsEnd,crossover,knightfall_era,Modern local Era,1994,1994,Level A,No,partial,,Imported from existing collection story labels and Knight reading-order block.
prodigal,Prodigal,crossover,knightfall_era,Modern local Era,1994,1995,Level B,Yes,verified,,Verified core reading order added in item_memberships.csv; Robin #0 retained only as collected-edition context.
troika,Troika,crossover,knightfall_era,Modern local Era,1995,1995,Level B,No,verified,,"Verified membership added in item_memberships.csv; reading-order sources differ, so multiple scopes are preserved."
contagion,Batman: Contagion,crossover,,Modern local Era,1996,1996,Level B,No,partial,,"Migrated from story_arc_checklists.csv; grouped checklist, not confirmed definitive reading order."
