PublicationType,Definition,Notes
regular_issue,Standard numbered issue in an ongoing or limited series,
promo_issue,Promotional or giveaway issue tracked separately from main numbered runs,
special,Special issue outside the normal numbered sequence,
annual,Annual issue,
one_shot,Single-issue standalone publication,
prestige,Prestige-format comic publication,
original_graphic_novel,Original graphic novel first published in book format,
trade_paperback,Collected edition in paperback format,
hardcover,Collected edition in hardcover format,
omnibus,Large collected edition,
absolute,DC Absolute-format collected edition,
facsimile,Physical reproduction edition related to an earlier original publication,
treasury,Oversized treasury-format publication,
