arc_id,arc_name,reading_order,series,issue_number,role,priority,collecting_status,source_url,notes
contagion,Batman: Contagion,001,Batman: Shadow of the Bat,48,core,required,collect,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,002,Detective Comics,695,core,required,collect,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,003,Robin (Vol. 2),27,core,required,collect,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,004,Catwoman (Vol. 2),31,core,required,collect,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,005,Azrael,15,core,required,collect,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,006,Batman,529,core,required,collect,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,007,Detective Comics,696,core,required,collect,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,008,The Batman Chronicles,4,core,required,collect,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,009,Catwoman (Vol. 2),32,core,required,collect,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,010,Azrael,16,core,required,collect,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,011,Robin (Vol. 2),28,core,required,collect,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,012,Batman: Shadow of the Bat,49,core,required,collect,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,020,Batman,530,expanded,optional,review,https://en.wikipedia.org/wiki/Batman%3A_Contagion,Listed in broader Contagion title range; review whether you want this as part of the expanded reading set.
contagion,Batman: Contagion,021,Batman,531,expanded,optional,review,https://en.wikipedia.org/wiki/Batman%3A_Contagion,Listed in broader Contagion title range; review whether you want this as part of the expanded reading set.
contagion,Batman: Contagion,022,Batman,532,expanded,optional,review,https://en.wikipedia.org/wiki/Batman%3A_Contagion,Listed in broader Contagion title range; review whether you want this as part of the expanded reading set.
contagion,Batman: Contagion,023,Catwoman (Vol. 2),33,expanded,optional,review,https://en.wikipedia.org/wiki/List_of_Batman_comics,Included in some collected-edition listings; also overlaps Legacy prelude material.
contagion,Batman: Contagion,024,Catwoman (Vol. 2),34,expanded,optional,review,https://en.wikipedia.org/wiki/List_of_Batman_comics,Included in some collected-edition listings; also overlaps Legacy prelude material.
contagion,Batman: Contagion,025,Catwoman (Vol. 2),35,expanded,optional,review,https://en.wikipedia.org/wiki/List_of_Batman_comics,Included in some collected-edition listings; also overlaps Legacy prelude material.
contagion,Batman: Contagion,026,Robin (Vol. 2),29,expanded,optional,review,https://en.wikipedia.org/wiki/List_of_Batman_comics,Included in some collected-edition listings; review placement.
contagion,Batman: Contagion,027,Robin (Vol. 2),30,expanded,optional,review,https://en.wikipedia.org/wiki/List_of_Batman_comics,Included in some collected-edition listings; review placement.
legacy,Batman: Legacy,001,Catwoman (Vol. 2),33,prequel,optional,review,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,002,Catwoman (Vol. 2),34,prequel,optional,review,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,003,Catwoman (Vol. 2),35,prequel,optional,review,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,004,Batman: Bane of the Demon,1,prequel,optional,review,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,005,Batman: Bane of the Demon,2,prequel,optional,review,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,006,Batman: Bane of the Demon,3,prequel,optional,review,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,007,Batman: Bane of the Demon,4,prequel,optional,review,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,008,Batman: Shadow of the Bat,53,prelude,required,collect,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prelude.
legacy,Batman: Legacy,009,Batman,533,prelude,required,collect,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prelude.
legacy,Batman: Legacy,010,Detective Comics,700,core,required,collect,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 1.
legacy,Batman: Legacy,011,Catwoman (Vol. 2),36,core,required,collect,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 2.
legacy,Batman: Legacy,012,Robin (Vol. 2),32,core,required,collect,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 3.
legacy,Batman: Legacy,013,Batman: Shadow of the Bat,54,core,required,collect,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 4.
legacy,Batman: Legacy,014,Batman,534,core,required,collect,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 5.
legacy,Batman: Legacy,015,Detective Comics,701,core,required,collect,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 6.
legacy,Batman: Legacy,016,Robin (Vol. 2),33,core,required,collect,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 7.
legacy,Batman: Legacy,017,Detective Comics,702,epilogue,required,collect,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Epilogue.
legacy,Batman: Legacy,018,Batman: Bane,1,epilogue,optional,review,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Epilogue one-shot.
long_halloween_family,Long Halloween Family,001,Batman: Legends of the Dark Knight Halloween Special,1,prequel,required,collect,https://en.wikipedia.org/wiki/Batman%3A_Haunted_Knight,Haunted Knight prequel one-shot collected as Fears.
long_halloween_family,Long Halloween Family,002,Batman: Madness - A Legends of the Dark Knight Halloween Special,1,prequel,required,collect,https://en.wikipedia.org/wiki/Batman%3A_Haunted_Knight,Haunted Knight prequel one-shot.
