DecisionID,Series,Issue,MetadataArc,StoryTitle,PartLabel,MetadataRole,MetadataNotes,SourceURL,DecisionStatus,Notes
META-BATMAN-430,Batman,430,Fatal Wish,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-432,Batman,432,Dead Letter Office,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-433,Batman,433,The Many Deaths Of...,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-434,Batman,434,The Many Deaths Of...,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-435,Batman,435,The Many Deaths Of...,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-436,Batman,436,Year Three,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-437,Batman,437,Year Three,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-438,Batman,438,Year Three,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-439,Batman,439,Year Three,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-443,Batman,443,Crimesmith,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-448,Batman,448,The Penguin Affair,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-449,Batman,449,The Penguin Affair,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-452,Batman,452,"Dark Knight, Dark City",,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-455,Batman,455,Robin Reborn,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-456,Batman,456,Robin Reborn,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-457,Batman,457,Robin Reborn,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-477,Batman,477,A Gotham Tale,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-478,Batman,478,A Gotham Tale,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-479,Batman,479,Pagan,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-480,Batman,480,To The Father I Never Knew...,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-481,Batman,481,Zeus,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
META-BATMAN-482,Batman,482,Zeus,,,review,Suggested from existing collection story label; verify before promoting.,,Review,Promoted from collection_story_label with review confidence.
