ViewID,DisplayName,Description,SourceFile,FilterField,FilterValue,FilterMode,OutputFile,DefaultOrder,DefaultScope,MinIssue,MaxIssue
dkr_saga,Dark Knight Returns Saga,DKR pilot view from the dedicated reading-order export.,reports/dark_knight_returns_saga_reading_order.csv,,,,reports/visual_view_dkr_saga.html,chronological,extended_frank_miller_batman_chronology,,
catwoman_vol2,Catwoman Vol. 2,Complete Catwoman Vol. 2 run plus #0 annuals and owned Catwoman specials.,reports/shopping_index.csv,series,"^(Catwoman \(Vol\.2\)|Catwoman \(Vol\.2\) Annual|Catwoman \+ Screamqueen|Catwoman/Vampirella|Catwoman/Wildcat|Catwoman: Defiant)$",regex,reports/visual_view_catwoman_vol2.html,source,catwoman_vol2,,
knightfall_to_knightsend,Knightfall to KnightsEnd,Original Knightfall-to-KnightsEnd reading-order sequence from the collection report.,reports/knightfall_to_knightsend_report.csv,focus_id,knightfall_to_knightsend,exact,reports/visual_view_knightfall_to_knightsend.html,reading,knightfall_to_knightsend,,
warhammer_monthly,Warhammer Monthly,Complete Warhammer Monthly run #0-86 plus owned non-numbered specials from the shopping index.,reports/shopping_index.csv,series,"^(Warhammer Monthly|Warhammer Monthly Free Birthday Special|Deathwing Special Promotional Issue)$",regex,reports/visual_view_warhammer_monthly.html,source,warhammer_monthly_complete,,
batman_400_499,Batman #400-499,Batman numbered run from #400 through #499 with ownership and cover status.,reports/shopping_index.csv,series,Batman,exact,reports/visual_view_batman_400_499.html,source,Batman,400,499
batman_0_99,Batman #0-99,Batman numbered run from #0 through #99 with ownership and cover status.,reports/shopping_index.csv,series,Batman,exact,reports/visual_view_batman_0_99.html,source,Batman,0,99
batman_100_199,Batman #100-199,Batman numbered run from #100 through #199 with ownership and cover status.,reports/shopping_index.csv,series,Batman,exact,reports/visual_view_batman_100_199.html,source,Batman,100,199
batman_200_299,Batman #200-299,Batman numbered run from #200 through #299 with ownership and cover status.,reports/shopping_index.csv,series,Batman,exact,reports/visual_view_batman_200_299.html,source,Batman,200,299
batman_300_399,Batman #300-399,Batman numbered run from #300 through #399 with ownership and cover status.,reports/shopping_index.csv,series,Batman,exact,reports/visual_view_batman_300_399.html,source,Batman,300,399
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,Batman: Legends of the Dark Knight complete numbered run from the series-run report.,reports/series_run_issues.csv,title,Batman: Legends of the Dark Knight,exact,reports/visual_view_legends_of_the_dark_knight.html,issue,Batman: Legends of the Dark Knight,,
shadow_of_the_bat,Batman: Shadow of the Bat,Batman: Shadow of the Bat complete numbered run from the series-run report.,reports/series_run_issues.csv,title,Batman: Shadow of the Bat,exact,reports/visual_view_shadow_of_the_bat.html,issue,Batman: Shadow of the Bat,,
