series,issue_number,known_in_reference_data,original_owned,facsimile_owned,owned_uncertain,readable_copy_count,ordered_not_arrived,shopping_status,shopping_priority,notes
Azrael Annual,2,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 168
Batman Annual,17,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 327
Batman Annual,18,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 328
Batman Annual,1987,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 329
Batman Annual,1989,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 330
Batman: Legends of the Dark Knight Annual,1,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 394
Batman: Legends of the Dark Knight Annual,2,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 395
Batman: Legends of the Dark Knight Annual,3,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 396
Batman: Legends of the Dark Knight Annual,6,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 397
Batman: Shadow of the Bat Annual,1,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 398
Batman: Shadow of the Bat Annual,3,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 399
Catwoman (Vol.2) Annual,1,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 411
Catwoman (Vol.2) Annual,2,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 412
Catwoman (Vol.2) Annual,3,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 413
Catwoman (Vol.2) Annual,4,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 414
Detective Comics Annual,1,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 582
Detective Comics Annual,2,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 583
Detective Comics Annual,3,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 584
Detective Comics Annual,4,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 585
Detective Comics Annual,5,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 586
Detective Comics Annual,6,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 587
Detective Comics Annual,7,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 588
Detective Comics Annual,9,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 589
Robin (Vol. 2) Annual,2,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 621
Robin (Vol. 2) Annual,4,Yes,No,No,Yes,1,No,OWNED,,Collection sheet: Batman row 622
