publication_id,canonical_series,annual_number,publication_year,parent_series,era,owned,ownership_status,edition_status,ordered_not_arrived,facsimile_exists,facsimile_owned,item_memberships,included_in_modern_local_annuals,excluded_from_modern_local_annuals,exclusion_reason,shopping_status,shopping_priority,source,confidence,notes
PUB-BAT-ANN-0001,Batman Annual,1,1961,Batman,Pre-Modern local,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run,No,Yes,Published before the strict 1986-1999 Modern local Era Annuals item.,BUY IF FAIR PRICE / RARE OPPORTUNITY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Original Batman Annual complete-run target; early scarce issue.; Annual publication reference: PUB-BAT-ANN-0001
PUB-BAT-ANN-0002,Batman Annual,2,1961,Batman,Pre-Modern local,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run,No,Yes,Published before the strict 1986-1999 Modern local Era Annuals item.,BUY IF FAIR PRICE / RARE OPPORTUNITY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Original Batman Annual complete-run target; early scarce issue.; Annual publication reference: PUB-BAT-ANN-0002
PUB-BAT-ANN-0003,Batman Annual,3,1962,Batman,Pre-Modern local,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run,No,Yes,Published before the strict 1986-1999 Modern local Era Annuals item.,BUY IF FAIR PRICE / RARE OPPORTUNITY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Original Batman Annual complete-run target; early scarce issue.; Annual publication reference: PUB-BAT-ANN-0003
PUB-BAT-ANN-0004,Batman Annual,4,1962,Batman,Pre-Modern local,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run,No,Yes,Published before the strict 1986-1999 Modern local Era Annuals item.,BUY IF FAIR PRICE / RARE OPPORTUNITY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Original Batman Annual complete-run target; early scarce issue.; Annual publication reference: PUB-BAT-ANN-0004
PUB-BAT-ANN-0005,Batman Annual,5,1963,Batman,Pre-Modern local,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run,No,Yes,Published before the strict 1986-1999 Modern local Era Annuals item.,BUY IF FAIR PRICE / RARE OPPORTUNITY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Original Batman Annual complete-run target; early scarce issue.; Annual publication reference: PUB-BAT-ANN-0005
PUB-BAT-ANN-0006,Batman Annual,6,1963,Batman,Pre-Modern local,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run,No,Yes,Published before the strict 1986-1999 Modern local Era Annuals item.,BUY IF FAIR PRICE / RARE OPPORTUNITY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Original Batman Annual complete-run target; early scarce issue.; Annual publication reference: PUB-BAT-ANN-0006
PUB-BAT-ANN-0007,Batman Annual,7,1964,Batman,Pre-Modern local,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run,No,Yes,Published before the strict 1986-1999 Modern local Era Annuals item.,BUY IF FAIR PRICE / RARE OPPORTUNITY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Original Batman Annual complete-run target; early scarce issue.; Annual publication reference: PUB-BAT-ANN-0007
PUB-BAT-ANN-0008,Batman Annual,8,1982,Batman,Pre-Modern local,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run,No,Yes,Published before the strict 1986-1999 Modern local Era Annuals item.,BUY IF CHEAP,MEDIUM,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Original Batman Annual complete-run target; revived numbering.; Annual publication reference: PUB-BAT-ANN-0008
PUB-BAT-ANN-0009,Batman Annual,9,1983,Batman,Pre-Modern local,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run,No,Yes,Published before the strict 1986-1999 Modern local Era Annuals item.,BUY IF CHEAP,MEDIUM,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Original Batman Annual complete-run target; revived numbering.; Annual publication reference: PUB-BAT-ANN-0009
PUB-BATO-ANN-0001,Batman and the Outsiders Annual,1,1984,Batman and the Outsiders,Pre-Modern local,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,annual_reference_universe,No,Yes,Published before the strict 1986-1999 Modern local Era Annuals item.,OPTIONAL,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Out-of-era Batman-family annual; searchable but excluded from strict 1986-1999 Modern local annual total.; Annual publication reference: PUB-BATO-ANN-0001
PUB-BATO-ANN-0002,Batman and the Outsiders Annual,2,1985,Batman and the Outsiders,Pre-Modern local,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,annual_reference_universe,No,Yes,Published before the strict 1986-1999 Modern local Era Annuals item.,OPTIONAL,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Out-of-era Batman-family annual; searchable but excluded from strict 1986-1999 Modern local annual total.; Annual publication reference: PUB-BATO-ANN-0002
PUB-BAT-ANN-0010,Batman Annual,10,1986,Batman,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run; modern_local_annuals,Yes,No,,BUY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Batman Annual ran annually in this period.; Also included in Modern local Era Annuals.; Annual publication reference: PUB-BAT-ANN-0010
PUB-OUTSIDERS-ANN-0001,The Outsiders Annual,1,1986,The Outsiders,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,OPTIONAL,,https://en.wikipedia.org/wiki/List_of_Batman_comics,partial,Included as researched adjacent candidate; not required for core Batman annual completion.; Annual publication reference: PUB-OUTSIDERS-ANN-0001
PUB-BAT-ANN-0011,Batman Annual,11,1987,Batman,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,batman_annual_complete_run; modern_local_annuals,Yes,No,,OWNED,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Also included in Modern local Era Annuals.; Publication alias: PUB-BAT-ANN-0011; Collection sheet: Batman row 329; Annual publication reference: PUB-BAT-ANN-0011
PUB-BAT-ANN-0012,Batman Annual,12,1988,Batman,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run; modern_local_annuals,Yes,No,,BUY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Also included in Modern local Era Annuals.; Annual publication reference: PUB-BAT-ANN-0012
PUB-DET-ANN-0001,Detective Comics Annual,1,1988,Detective Comics,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Detective Comics Annual published regularly 1988-1997.; Collection sheet: Batman row 582; Annual publication reference: PUB-DET-ANN-0001
PUB-BAT-ANN-0013,Batman Annual,13,1989,Batman,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,batman_annual_complete_run; modern_local_annuals,Yes,No,,OWNED,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Also included in Modern local Era Annuals.; Publication alias: PUB-BAT-ANN-0013; Collection sheet: Batman row 330; Annual publication reference: PUB-BAT-ANN-0013
PUB-DET-ANN-0002,Detective Comics Annual,2,1989,Detective Comics,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 583; Annual publication reference: PUB-DET-ANN-0002
PUB-BAT-ANN-0014,Batman Annual,14,1990,Batman,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run; modern_local_annuals,Yes,No,,BUY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Also included in Modern local Era Annuals.; Annual publication reference: PUB-BAT-ANN-0014
PUB-DET-ANN-0003,Detective Comics Annual,3,1990,Detective Comics,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 584; Annual publication reference: PUB-DET-ANN-0003
PUB-BAT-ANN-0015,Batman Annual,15,1991,Batman,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run; modern_local_annuals,Yes,No,,BUY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Also included in Modern local Era Annuals.; Annual publication reference: PUB-BAT-ANN-0015
PUB-LOTDK-ANN-0001,Batman: Legends of the Dark Knight Annual,1,1991,Legends of the Dark Knight,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28K%E2%80%93O%29,verified,Collection sheet: Batman row 394; Annual publication reference: PUB-LOTDK-ANN-0001
PUB-DET-ANN-0004,Detective Comics Annual,4,1991,Detective Comics,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 585; Annual publication reference: PUB-DET-ANN-0004
PUB-BAT-ANN-0016,Batman Annual,16,1992,Batman,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,batman_annual_complete_run; modern_local_annuals,Yes,No,,BUY,HIGH,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Also included in Modern local Era Annuals.; Annual publication reference: PUB-BAT-ANN-0016
PUB-LOTDK-ANN-0002,Batman: Legends of the Dark Knight Annual,2,1992,Legends of the Dark Knight,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28K%E2%80%93O%29,verified,Collection sheet: Batman row 395; Annual publication reference: PUB-LOTDK-ANN-0002
PUB-DET-ANN-0005,Detective Comics Annual,5,1992,Detective Comics,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 586; Annual publication reference: PUB-DET-ANN-0005
PUB-ROBIN-V2-ANN-0001,Robin (Vol. 2) Annual,1,1992,Robin,Modern local Era,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,modern_local_annuals,Yes,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Robin Annual #1-7 with a long gap before #7.; Annual publication reference: PUB-ROBIN-V2-ANN-0001
PUB-BAT-ANN-0017,Batman Annual,17,1993,Batman,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,batman_annual_complete_run; modern_local_annuals,Yes,No,,OWNED,HIGH,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,verified,Bloodlines Outbreak chapter.; Also included in Modern local Era Annuals.; Collection sheet: Batman row 327; Annual publication reference: PUB-BAT-ANN-0017
PUB-LOTDK-ANN-0003,Batman: Legends of the Dark Knight Annual,3,1993,Batman: Legends of the Dark Knight,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,verified,Bloodlines Deathstorm chapter.; Collection sheet: Batman row 396; Annual publication reference: PUB-LOTDK-ANN-0003
PUB-SOTB-ANN-0001,Batman: Shadow of the Bat Annual,1,1993,Batman: Shadow of the Bat,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,verified,Bloodlines Outbreak chapter.; Collection sheet: Batman row 398; Annual publication reference: PUB-SOTB-ANN-0001
PUB-DET-ANN-0006,Detective Comics Annual,6,1993,Detective Comics,Modern local Era,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,No,modern_local_annuals,Yes,No,,OWNED,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,verified,Bloodlines Earthplague chapter.; Collection sheet: Batman row 587; Annual publication reference: PUB-DET-ANN-0006
