publication_sequence,publication_date,item_id,title,issue_number,format_type,universe_setting,relationship,owned,ordered,missing,shopping_priority,source,confidence,notes
001,1989-02,batman_local_elseworlds_1989_1999,local by Gaslight,,GRAPHIC_NOVEL,Victorian local,,Yes,No,No,,https://en.wikipedia.org/wiki/local_by_Gaslight,verified,First Batman Elseworlds story; not originally branded at publication.
002,1991,batman_local_elseworlds_1989_1999,Batman & Dracula: Red Rain,,GRAPHIC_NOVEL,Batman Vampire,same_universe_as,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,First Batman Vampire trilogy book.
003,1991,batman_local_elseworlds_1989_1999,Batman: Holy Terror,,GRAPHIC_NOVEL,Alternate theocracy,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Published under Elseworlds logo.
004,1991,batman_local_elseworlds_1989_1999,Batman: Master of the Future,,GRAPHIC_NOVEL,Victorian local,sequel,Yes,No,No,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Sequel to local by Gaslight.
005,1993,batman_local_elseworlds_1989_1999,Batman: Dark Joker - The Wild,,GRAPHIC_NOVEL,Fantasy Elseworld,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Collected in Elseworlds: Batman Volume One.
006,1994,batman_local_elseworlds_1989_1999,Batman: Bloodstorm,,GRAPHIC_NOVEL,Batman Vampire,same_universe_as,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Second Batman Vampire trilogy book.
007,1994,batman_local_elseworlds_1989_1999,Batman: Castle of the Bat,,GRAPHIC_NOVEL,Frankenstein-inspired Elseworld,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Collected in Elseworlds: Batman Volume One.
008,1994,batman_local_elseworlds_1989_1999,Batman: In Darkest Knight,,GRAPHIC_NOVEL,Green Lantern Batman,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Collected in Elseworlds: Batman Volume One.
009,1995,batman_local_elseworlds_1989_1999,Batman: Brotherhood of the Bat,,GRAPHIC_NOVEL,Son of the Demon future,sequel,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Sequel/same-universe relation to KnightGallery.
010,1995,batman_local_elseworlds_1989_1999,Batman: KnightGallery,,GRAPHIC_NOVEL,Son of the Demon future,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Elseworlds story related to Brotherhood of the Bat and later League of Batmen.
011,1996,batman_local_elseworlds_1989_1999,Batman & Captain America,,PRESTIGE_ONE_SHOT,Golden Age Marvel/DC crossover,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Elseworlds and cross-company crossover.
012,1996,batman_local_elseworlds_1989_1999,Batman: Scar of the Bat,,GRAPHIC_NOVEL,Prohibition-era Batman,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Collected in Elseworlds: Batman Volume Three.
013,1997,batman_local_elseworlds_1989_1999,Batman: Masque,,GRAPHIC_NOVEL,Phantom-inspired Elseworld,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Collected in Elseworlds: Batman Volume Three.
014,1997-01,batman_thrillkiller,Batgirl and Robin: Thrillkiller,1,MINISERIES,Thrillkiller,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Issue 1 of 3.
015,1997-02,batman_thrillkiller,Batgirl and Robin: Thrillkiller,2,MINISERIES,Thrillkiller,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Issue 2 of 3.
016,1997-03,batman_thrillkiller,Batgirl and Robin: Thrillkiller,3,MINISERIES,Thrillkiller,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Issue 3 of 3.
017,1997-10,batman_local_elseworlds_1989_1999,Elseworld's Finest,1,MINISERIES,1920s pulp,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Issue 1 of 2.
018,1997-11,batman_local_elseworlds_1989_1999,Elseworld's Finest,2,MINISERIES,1920s pulp,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Issue 2 of 2.
019,1998,batman_local_elseworlds_1989_1999,Batman: Crimson Mist,,GRAPHIC_NOVEL,Batman Vampire,same_universe_as,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Third Batman Vampire trilogy book.
020,1998-02,batman_thrillkiller,Batgirl and Batman: Thrillkiller '62,,ONE_SHOT,Thrillkiller,sequel,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Sequel and conclusion to Batgirl and Robin: Thrillkiller #1-3.
021,1999,batman_local_elseworlds_1989_1999,Batman: Book of the Dead,,GRAPHIC_NOVEL,Egyptian archaeology Elseworld,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Published under Elseworlds logo.
022,1999,batman_local_elseworlds_1989_1999,Batman: Reign of Terror,,GRAPHIC_NOVEL,French Revolution Elseworld,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Published under Elseworlds logo.
023,1999-01,batman_local_elseworlds_1989_1999,Superman & Batman: Generations,1,LIMITED_SERIES,Generations,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28P%E2%80%93S%29,verified,Issue 1 of 4.
024,1999-02,batman_local_elseworlds_1989_1999,Superman & Batman: Generations,2,LIMITED_SERIES,Generations,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28P%E2%80%93S%29,verified,Issue 2 of 4.
025,1999-03,batman_local_elseworlds_1989_1999,Superman & Batman: Generations,3,LIMITED_SERIES,Generations,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28P%E2%80%93S%29,verified,Issue 3 of 4.
026,1999-04,batman_local_elseworlds_1989_1999,Superman & Batman: Generations,4,LIMITED_SERIES,Generations,,No,No,Yes,,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28P%E2%80%93S%29,verified,Issue 4 of 4.
