series,issue_number,display_name,run_id,run_status,missing_reason,metadata_arc,story_title,part_label,metadata_status,metadata_source,owned_original_issue_count,owned_facsimile_count,ordered_not_arrived_count,readable_copy_count,collection_coverage,still_want_original,wanted_reason,search_query,notes
Azrael,0,Azrael #0,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #0,
Azrael,3,Azrael #3,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #3,
Azrael,4,Azrael #4,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #4,
Azrael,5,Azrael #5,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #5,
Azrael,8,Azrael #8,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #8,
Azrael,9,Azrael #9,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #9,
Azrael,10,Azrael #10,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #10,
Azrael,11,Azrael #11,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #11,
Azrael,12,Azrael #12,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #12,
Azrael,13,Azrael #13,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #13,
Azrael,14,Azrael #14,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #14,
Azrael,15,Azrael #15,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #15,
Azrael,18,Azrael #18,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #18,
Azrael,19,Azrael #19,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #19,
Azrael,20,Azrael #20,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #20,
Azrael,21,Azrael #21,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #21,
Azrael,22,Azrael #22,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #22,
Azrael,23,Azrael #23,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #23,
Azrael,24,Azrael #24,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #24,
Azrael,25,Azrael #25,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #25,
Azrael,26,Azrael #26,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #26,
Azrael,27,Azrael #27,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #27,
Azrael,28,Azrael #28,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #28,
Azrael,29,Azrael #29,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #29,
Azrael,30,Azrael #30,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #30,
Azrael,31,Azrael #31,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #31,
Azrael,32,Azrael #32,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #32,
Azrael,33,Azrael #33,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #33,
Azrael,34,Azrael #34,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #34,
Azrael,35,Azrael #35,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #35,
Azrael,36,Azrael #36,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #36,
Azrael,37,Azrael #37,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #37,
Azrael,38,Azrael #38,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #38,
Azrael,39,Azrael #39,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #39,
Azrael,40,Azrael #40,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #40,
Azrael,41,Azrael #41,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #41,
Azrael,42,Azrael #42,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #42,
Azrael,43,Azrael #43,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #43,
Azrael,44,Azrael #44,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #44,
Azrael,45,Azrael #45,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #45,
Azrael,46,Azrael #46,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #46,
Azrael,47,Azrael #47,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #47,
Azrael,48,Azrael #48,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #48,
Azrael,49,Azrael #49,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #49,
Azrael,50,Azrael #50,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #50,
Azrael,51,Azrael #51,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #51,
Azrael,52,Azrael #52,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #52,
Azrael,53,Azrael #53,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #53,
Azrael,54,Azrael #54,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #54,
Azrael,55,Azrael #55,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #55,
Azrael,56,Azrael #56,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #56,
Azrael,57,Azrael #57,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #57,
Azrael,58,Azrael #58,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #58,
Azrael,59,Azrael #59,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #59,
Azrael,60,Azrael #60,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #60,
Azrael,61,Azrael #61,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #61,
Azrael,62,Azrael #62,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #62,
Azrael,63,Azrael #63,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #63,
Azrael,64,Azrael #64,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #64,
Azrael,65,Azrael #65,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #65,
Azrael,66,Azrael #66,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #66,
Azrael,67,Azrael #67,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #67,
Azrael,68,Azrael #68,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #68,
Azrael,69,Azrael #69,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #69,
Azrael,70,Azrael #70,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #70,
Azrael,71,Azrael #71,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #71,
Azrael,72,Azrael #72,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #72,
Azrael,73,Azrael #73,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #73,
Azrael,74,Azrael #74,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #74,
Azrael,75,Azrael #75,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #75,
Azrael,76,Azrael #76,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #76,
Azrael,77,Azrael #77,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #77,
Azrael,78,Azrael #78,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #78,
Azrael,79,Azrael #79,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #79,
Azrael,80,Azrael #80,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #80,
Azrael,81,Azrael #81,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #81,
Azrael,82,Azrael #82,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #82,
Azrael,83,Azrael #83,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #83,
Azrael,84,Azrael #84,azrael_verified,absent_from_sheet,absent_from_sheet,,,,,,0,0,0,0,,Yes,absent_from_sheet,Azrael #84,
