focus_id,focus_name,source_file,reading_order,series,issue_number,display_name,role,priority,collecting_status,ownership_status,owned_in_sheet_count,matched_collection_rows,owned_original_issue_count,owned_facsimile_count,ordered_not_arrived_count,readable_copy_count,still_want_original,source_url,notes
bloodlines,Bloodlines,event_checklists.csv,001,Lobo Annual,1,Lobo Annual #1,outbreak,optional,review,owned_in_sheet,1,Other row 45: Lobo - Annual 01,0,0,0,0,Review,https://en.wikipedia.org/wiki/Bloodlines_(comics),Outbreak chapter.
bloodlines,Bloodlines,event_checklists.csv,002,Superman: Man Of Steel Annual,2,Superman: Man Of Steel Annual #2,outbreak,optional,review,owned_in_sheet,1,Other row 47: Superman: Man Of Steel - Annual 02,0,0,0,0,Review,https://en.wikipedia.org/wiki/Bloodlines_(comics),Outbreak chapter.
bloodlines,Bloodlines,event_checklists.csv,003,Batman: Shadow of the Bat Annual,1,Batman: Shadow of the Bat Annual #1,outbreak,gotham,collect,owned_in_sheet,1,Batman row 398: Batman: Shadow of the Bat - Annual 1: Bloodlines,0,0,0,0,Review,https://en.wikipedia.org/wiki/Bloodlines_(comics),Outbreak chapter; Gotham/Batman tie-in.
bloodlines,Bloodlines,event_checklists.csv,004,The Flash Annual,6,The Flash Annual #6,outbreak,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Bloodlines_(comics),Outbreak chapter.
bloodlines,Bloodlines,event_checklists.csv,005,The New Titans Annual,9,The New Titans Annual #9,outbreak,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Bloodlines_(comics),Outbreak chapter.
bloodlines,Bloodlines,event_checklists.csv,006,Superman Annual,5,Superman Annual #5,outbreak,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Bloodlines_(comics),Outbreak chapter.
bloodlines,Bloodlines,event_checklists.csv,007,Green Lantern Annual,2,Green Lantern Annual #2,outbreak,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Bloodlines_(comics),Outbreak chapter.
bloodlines,Bloodlines,event_checklists.csv,008,Batman Annual,17,Batman Annual #17,outbreak,gotham,collect,owned_in_sheet,1,Batman row 327: Batman Annual #17 (1993),0,0,0,0,Review,https://en.wikipedia.org/wiki/Bloodlines_(comics),Outbreak chapter; Gotham/Batman tie-in.
bloodlines,Bloodlines,event_checklists.csv,009,Justice League International Annual,4,Justice League International Annual #4,outbreak,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Bloodlines_(comics),Outbreak chapter.
bloodlines,Bloodlines,event_checklists.csv,010,Robin (Vol. 2) Annual,2,Robin (Vol. 2) Annual #2,earthplague,gotham,collect,owned_in_sheet,1,Batman row 621: Robin (Vol. 2) - Annual #02,0,0,0,0,Review,https://en.wikipedia.org/wiki/Bloodlines_(comics),Earthplague chapter; Gotham/Batman tie-in.
bloodlines,Bloodlines,event_checklists.csv,011,Action Comics Annual,5,Action Comics Annual #5,earthplague,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Bloodlines_(comics),Earthplague chapter.
bloodlines,Bloodlines,event_checklists.csv,012,Legion Of Superheros Annual,4,Legion Of Superheros Annual #4,earthplague,optional,review,owned_in_sheet,1,Other row 48: Legion Of Superheros - Annual 04,0,0,0,0,Review,https://en.wikipedia.org/wiki/Bloodlines_(comics),Earthplague chapter.
bloodlines,Bloodlines,event_checklists.csv,013,Green Arrow Annual,6,Green Arrow Annual #6,earthplague,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Bloodlines_(comics),Earthplague chapter.
