publication_id,title,issue_number,publication_date,scope_item_id,scope_id,scope_name,industry_age,batman_era,publication_type,continuity_type,batman_role,new_or_reprint_content,owned,ownership_status,ordered,edition_status,facsimile_exists,facsimile_owned,shopping_status,shopping_priority,gap_priority,gap_reason,source,confidence,notes
PUB-BAT-0217,Batman,217,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0218,Batman,218,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0219,Batman,219,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0220,Batman,220,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0221,Batman,221,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0222,Batman,222,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0223,Batman,223,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0224,Batman,224,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0225,Batman,225,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0226,Batman,226,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0227,Batman,227,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0228,Batman,228,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0229,Batman,229,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0230,Batman,230,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0231,Batman,231,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0232,Batman,232,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,FACSIMILE EXISTS / MISSING,Yes,No,BUY FACSIMILE,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0233,Batman,233,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0234,Batman,234,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0235,Batman,235,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0236,Batman,236,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0237,Batman,237,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0238,Batman,238,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0239,Batman,239,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0240,Batman,240,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0241,Batman,241,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0242,Batman,242,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0243,Batman,243,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0244,Batman,244,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,ORDERED,Yes,ORDERED FACSIMILE,Yes,No,ORDERED,LOW,ORDERED,Already ordered.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0245,Batman,245,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0246,Batman,246,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0247,Batman,247,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0248,Batman,248,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0249,Batman,249,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0250,Batman,250,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0251,Batman,251,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,ORDERED,Yes,ORDERED FACSIMILE,Yes,No,ORDERED,LOW,ORDERED,Already ordered.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0252,Batman,252,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0253,Batman,253,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
PUB-BAT-0254,Batman,254,,bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,Bronze Age,Bronze Age Batman,Original Issue,main continuity,lead,new story,No,MISSING,No,NO CONFIRMED FACSIMILE,No,No,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review,Range follows Library researched Batman-specific Bronze convention.
