scope_item_id,scope_name,title,issue_number,publication_id,ownership_status,shopping_status,shopping_priority,gap_priority,gap_reason,nearest_owned_before,nearest_owned_after,source,confidence
bronze_age_batman_core,Core Batman and Detective Comics,Batman,217,PUB-BAT-0217,MISSING,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,,266,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review
bronze_age_batman_core,Core Batman and Detective Comics,Batman,218,PUB-BAT-0218,MISSING,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,,266,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review
bronze_age_batman_core,Core Batman and Detective Comics,Batman,219,PUB-BAT-0219,MISSING,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,,266,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review
bronze_age_batman_core,Core Batman and Detective Comics,Batman,220,PUB-BAT-0220,MISSING,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,,266,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review
bronze_age_batman_core,Core Batman and Detective Comics,Batman,221,PUB-BAT-0221,MISSING,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,,266,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review
bronze_age_batman_core,Core Batman and Detective Comics,Batman,222,PUB-BAT-0222,MISSING,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,,266,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review
bronze_age_batman_core,Core Batman and Detective Comics,Batman,223,PUB-BAT-0223,MISSING,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,,266,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review
bronze_age_batman_core,Core Batman and Detective Comics,Batman,224,PUB-BAT-0224,MISSING,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,,266,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review
bronze_age_batman_core,Core Batman and Detective Comics,Batman,225,PUB-BAT-0225,MISSING,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,,266,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review
bronze_age_batman_core,Core Batman and Detective Comics,Batman,226,PUB-BAT-0226,MISSING,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,,266,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review
bronze_age_batman_core,Core Batman and Detective Comics,Batman,227,PUB-BAT-0227,MISSING,BUY IF CHEAP,LOW,MEDIUM,Missing from a configured physical run target.,,266,https://en.wikipedia.org/wiki/Bronze_Age_of_Comic_Books,review
