PublicationID,Title,PublicationType,Publisher,Year,OriginalPublicationFormat,OwnershipStatus,contained_issue_count,contained_issues,contained_stories,Notes
PUB-BATGIRL-YEAR-ONE-HC,Batgirl: Year One,Hardcover,DC Comics,,Collected Edition,Yes,0,,,Owned hardback added from user note; contained issues to confirm before counting original issue coverage.
PUB-BAT-JUDGE-DREDD-JUDGEMENT-GOTHAM,Batman/Judge Dredd: Judgment on local,Original Graphic Novel,DC Comics,,Original Graphic Novel,Yes,0,,,Owned graphic novel added from user note; contents/edition details to confirm.
PUB-BAT-SPAWN-WAR-DEVIL,Batman/Spawn: War Devil,Prestige One-Shot,DC Comics,,Prestige One-Shot,Yes,0,,,Owned seed; treat as first-published prestige publication unless publication_contents.csv later records contained issues.
PUB-BAT-LONELY-PLACE-DYING,Batman: A Lonely Place of Dying,Trade Paperback,DC Comics,,Collected Edition,Yes,5,Batman #440; Batman #441; Batman #442; New Titans #60; New Titans #61,A Lonely Place of Dying,Collected edition containing Batman #440-442 and New Titans #60-61.
PUB-BAT-JOKER-DEVILS-ADVOCATE,Batman: Joker - Devil's Advocate,Original Graphic Novel,DC Comics,,Original Graphic Novel,Yes,0,,,Owned seed; treat as first-published publication unless publication_contents.csv later records contained issues.
PUB-BAT-SCOTTISH-CONNECTION,Batman: Scottish Connection,Original Graphic Novel,DC Comics,,Original Graphic Novel,Yes,0,,,Owned seed; treat as first-published publication unless publication_contents.csv later records contained issues.
PUB-BAT-CHALICE,Batman: The Chalice,Original Graphic Novel,DC Comics,,Original Graphic Novel,Yes,0,,,Owned seed; treat as first-published publication unless publication_contents.csv later records contained issues.
PUB-BAT-KILLING-JOKE-DELUXE-HC,Batman: The Killing Joke Deluxe Edition,Hardcover,DC Comics,,Collected Edition,Yes,0,,,Owned hardback added from user note; deluxe contents to confirm before counting contained issue coverage.
PUB-BAT-MAN-WHO-LAUGHS,Batman: The Man Who Laughs,Collection,DC Comics,,Collected Edition,Yes,0,,,Owned graphic novel added from user note; contained stories/issues to confirm before counting original issue coverage.
PUB-BAT-YEAR-TWO,Batman: Year Two,Trade Paperback,DC Comics,,Collected Edition,Yes,4,Detective Comics #575; Detective Comics #576; Detective Comics #577; Detective Comics #578,Batman: Year Two,Collected edition containing Detective Comics #575-578.
PUB-GRIFTER-MIDNIGHTER,Grifter/Midnighter,Collection,WildStorm,,Collected Edition,Yes,0,,,"Owned graphic novel added from user note typed as ""griftwer midnight""; exact title/edition and contents to confirm."
PUB-JOKER-CLOWN-PRINCE-CRIME,The Joker: The Clown Prince of Crime,Collection,DC Comics,,Collected Edition,Yes,0,,,Owned graphic novel added from user note; contained issues to confirm before counting original issue coverage.
