focus_id,focus_name,source_file,reading_order,series,issue_number,display_name,role,priority,collecting_status,ownership_status,owned_in_sheet_count,matched_collection_rows,owned_original_issue_count,owned_facsimile_count,ordered_not_arrived_count,readable_copy_count,still_want_original,source_url,notes
contagion,Batman: Contagion,story_arc_checklists.csv,001,Batman: Shadow of the Bat,48,Batman: Shadow of the Bat #48,core,required,collect,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,story_arc_checklists.csv,002,Detective Comics,695,Detective Comics #695,core,required,collect,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,story_arc_checklists.csv,003,Robin (Vol. 2),27,Robin (Vol. 2) #27,core,required,collect,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,story_arc_checklists.csv,004,Catwoman (Vol. 2),31,Catwoman (Vol. 2) #31,core,required,collect,owned_in_sheet,1,Batman row 442: Catwoman (Vol.2) #31,0,0,0,0,Review,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,story_arc_checklists.csv,005,Azrael,15,Azrael #15,core,required,collect,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,story_arc_checklists.csv,006,Batman,529,Batman #529,core,required,collect,owned_in_sheet,1,Batman row 294: Batman #529,0,0,0,0,Review,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,story_arc_checklists.csv,007,Detective Comics,696,Detective Comics #696,core,required,collect,owned_in_sheet,1,Batman row 581: Detective Comics #696,0,0,0,0,Review,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,story_arc_checklists.csv,008,The Batman Chronicles,4,The Batman Chronicles #4,core,required,collect,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,story_arc_checklists.csv,009,Catwoman (Vol. 2),32,Catwoman (Vol. 2) #32,core,required,collect,owned_in_sheet,1,Batman row 443: Catwoman (Vol.2) #32,0,0,0,0,Review,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,story_arc_checklists.csv,010,Azrael,16,Azrael #16,core,required,collect,owned_in_sheet,1,Batman row 171: Azrael #16,0,0,0,0,Review,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
