view_id,view_name,story_or_arc,scope,total_items,owned_items,missing_cover_items,owned_missing_cover_items,missing_cover_publication_ids,owned_missing_cover_publication_ids,research_priority
batman_400_499,Batman #400-499,Unmapped story,COMPLETE_RUN,46,25,13,6,VIEW-batman-410; VIEW-batman-411; VIEW-batman-414; VIEW-batman-416; VIEW-batman-419; VIEW-batman-420; VIEW-batman-408; VIEW-batman-409; VIEW-batman-412; VIEW-batman-413; VIEW-batman-415; VIEW-batman-417; VIEW-batman-418,VIEW-batman-410; VIEW-batman-411; VIEW-batman-414; VIEW-batman-416; VIEW-batman-419; VIEW-batman-420,1 owned gaps
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,Destroyer,legends_dark_knight_1_214,1,1,1,1,VIEW-batman-legends-of-the-dark-knight-27,VIEW-batman-legends-of-the-dark-knight-27,1 owned gaps
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,Faith,legends_dark_knight_1_214,2,2,2,2,VIEW-batman-legends-of-the-dark-knight-22; VIEW-batman-legends-of-the-dark-knight-23,VIEW-batman-legends-of-the-dark-knight-22; VIEW-batman-legends-of-the-dark-knight-23,1 owned gaps
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,Favorite Things,legends_dark_knight_1_214,1,1,1,1,VIEW-batman-legends-of-the-dark-knight-79,VIEW-batman-legends-of-the-dark-knight-79,1 owned gaps
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,Flyer,legends_dark_knight_1_214,3,3,3,3,VIEW-batman-legends-of-the-dark-knight-24; VIEW-batman-legends-of-the-dark-knight-25; VIEW-batman-legends-of-the-dark-knight-26,VIEW-batman-legends-of-the-dark-knight-24; VIEW-batman-legends-of-the-dark-knight-25; VIEW-batman-legends-of-the-dark-knight-26,1 owned gaps
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,Going Sane,legends_dark_knight_1_214,3,3,3,3,VIEW-batman-legends-of-the-dark-knight-65; VIEW-batman-legends-of-the-dark-knight-66; VIEW-batman-legends-of-the-dark-knight-67,VIEW-batman-legends-of-the-dark-knight-65; VIEW-batman-legends-of-the-dark-knight-66; VIEW-batman-legends-of-the-dark-knight-67,1 owned gaps
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,Gothic,legends_dark_knight_1_214,5,5,5,5,VIEW-batman-legends-of-the-dark-knight-10; VIEW-batman-legends-of-the-dark-knight-6; VIEW-batman-legends-of-the-dark-knight-7; VIEW-batman-legends-of-the-dark-knight-8; VIEW-batman-legends-of-the-dark-knight-9,VIEW-batman-legends-of-the-dark-knight-10; VIEW-batman-legends-of-the-dark-knight-6; VIEW-batman-legends-of-the-dark-knight-7; VIEW-batman-legends-of-the-dark-knight-8; VIEW-batman-legends-of-the-dark-knight-9,1 owned gaps
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,Legend of the Dark Mite,legends_dark_knight_1_214,1,1,1,1,VIEW-batman-legends-of-the-dark-knight-38,VIEW-batman-legends-of-the-dark-knight-38,1 owned gaps
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,Mercy,legends_dark_knight_1_214,1,1,1,1,VIEW-batman-legends-of-the-dark-knight-37,VIEW-batman-legends-of-the-dark-knight-37,1 owned gaps
legends_of_the_dark_knight,Batman: Legends of the Dark Knight,Prey,legends_dark_knight_1_214,5,5,5,5,VIEW-batman-legends-of-the-dark-knight-11; VIEW-batman-legends-of-the-dark-knight-12; VIEW-batman-legends-of-the-dark-knight-13; VIEW-batman-legends-of-the-dark-knight-14; VIEW-batman-legends-of-the-dark-knight-15,VIEW-batman-legends-of-the-dark-knight-11; VIEW-batman-legends-of-the-dark-knight-12; VIEW-batman-legends-of-the-dark-knight-13; VIEW-batman-legends-of-the-dark-knight-14; VIEW-batman-legends-of-the-dark-knight-15,1 owned gaps
