PublicationID,DisplayTitle,Work,IssueNumber,CoverReviewStatus,CoverReviewFlags,CoverReviewNotes,ImageSourceURL,LocalImagePath,SourceNotes
PUB-BAT-0404,Batman: Year One #404,Batman: Year One,404,needs_review,missing_image; user_reported_wrong_cover; missing_source_url; missing_source_page,No local cover image is available yet. | Previous cover was cleared after user review; needs corrected original regular cover source. | No image source URL recorded. | No source page URL found in SourceNotes.,,assets/covers/display/PUB-BAT-0404.jpg,User reported previous imported cover as wrong; cover source needs re-research.
PUB-BAT-0405,Batman: Year One #405,Batman: Year One,405,needs_review,missing_image; user_reported_wrong_cover; missing_source_url; missing_source_page,No local cover image is available yet. | Previous cover was cleared after user review; needs corrected original regular cover source. | No image source URL recorded. | No source page URL found in SourceNotes.,,assets/covers/display/PUB-BAT-0405.jpg,User reported previous imported cover as wrong; cover source needs re-research.
PUB-BAT-0406,Batman: Year One #406,Batman: Year One,406,needs_review,missing_image; user_reported_wrong_cover; missing_source_url; missing_source_page,No local cover image is available yet. | Previous cover was cleared after user review; needs corrected original regular cover source. | No image source URL recorded. | No source page URL found in SourceNotes.,,assets/covers/display/PUB-BAT-0406.jpg,User reported previous imported cover as wrong; cover source needs re-research.
PUB-BAT-0407,Batman: Year One #407,Batman: Year One,407,needs_review,missing_image; user_reported_wrong_cover; missing_source_url; missing_source_page,No local cover image is available yet. | Previous cover was cleared after user review; needs corrected original regular cover source. | No image source URL recorded. | No source page URL found in SourceNotes.,,assets/covers/display/PUB-BAT-0407.jpg,User reported previous imported cover as wrong; cover source needs re-research.
VIEW-warhammer-monthly-45,Warhammer Monthly #45,Warhammer Monthly,45,needs_review,low_resolution_image,Local cover image is only 97x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/2/2b/Warhammer_Monthly_45.jpg/97px-Warhammer_Monthly_45.jpg,assets/covers/display/VIEW-warhammer-monthly-45.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_45 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-46,Warhammer Monthly #46,Warhammer Monthly,46,needs_review,low_resolution_image,Local cover image is only 100x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/5/54/Warhammer_Monthly_46.jpg/100px-Warhammer_Monthly_46.jpg,assets/covers/display/VIEW-warhammer-monthly-46.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_46 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-47,Warhammer Monthly #47,Warhammer Monthly,47,needs_review,low_resolution_image,Local cover image is only 100x149; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/0/06/Warhammer_Monthly_47.jpg/100px-Warhammer_Monthly_47.jpg,assets/covers/display/VIEW-warhammer-monthly-47.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_47 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-48,Warhammer Monthly #48,Warhammer Monthly,48,needs_review,low_resolution_image,Local cover image is only 100x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/f/fa/Warhammer_Monthly_48.jpg/100px-Warhammer_Monthly_48.jpg,assets/covers/display/VIEW-warhammer-monthly-48.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_48 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-49,Warhammer Monthly #49,Warhammer Monthly,49,needs_review,low_resolution_image,Local cover image is only 100x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/c/cd/Warhammer_Monthly_49.jpg/100px-Warhammer_Monthly_49.jpg,assets/covers/display/VIEW-warhammer-monthly-49.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_49 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
VIEW-warhammer-monthly-51,Warhammer Monthly #51,Warhammer Monthly,51,needs_review,low_resolution_image,Local cover image is only 99x150; use as a placeholder until a larger source is available.,https://wh40k.lexicanum.com/mediawiki/images/thumb/7/77/Warhammer_Monthly_51.jpg/99px-Warhammer_Monthly_51.jpg,assets/covers/display/VIEW-warhammer-monthly-51.jpg,Lexicanum | https://wh40k.lexicanum.com/wiki/Warhammer_Monthly_Issue_51 | confidence=high | Original issue cover verified from the Lexicanum Warhammer Monthly index.
