event_id,event_name,reading_order,sequence,series,issue_number,role,priority,collecting_status,owned,ordered,owned_format,readable_via_collection,missing,optional_or_required,ownership_status,shopping_status,shopping_priority,matched_collection_rows,source_url,confidence,notes
bloodlines,Bloodlines,001,001,Lobo Annual,1,outbreak,optional,review,Yes,No,OWNED ORIGINAL,No,No,optional,OWNED,OWNED,,Collection sheet: Other row 45,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Outbreak chapter.
bloodlines,Bloodlines,002,002,Superman: Man Of Steel Annual,2,outbreak,optional,review,Yes,No,OWNED ORIGINAL,No,No,optional,OWNED,OWNED,,Collection sheet: Other row 47,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Outbreak chapter.
bloodlines,Bloodlines,003,003,Batman: Shadow of the Bat Annual,1,outbreak,gotham,collect,Yes,No,OWNED - EDITION UNCLASSIFIED,No,No,gotham,OWNED,OWNED,,Collection sheet: Batman row 398,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Outbreak chapter; Gotham/Batman tie-in.
bloodlines,Bloodlines,004,004,The Flash Annual,6,outbreak,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Outbreak chapter.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Outbreak chapter.
bloodlines,Bloodlines,005,005,The New Titans Annual,9,outbreak,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Outbreak chapter.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Outbreak chapter.
bloodlines,Bloodlines,006,006,Superman Annual,5,outbreak,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Outbreak chapter.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Outbreak chapter.
bloodlines,Bloodlines,007,007,Green Lantern Annual,2,outbreak,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Outbreak chapter.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Outbreak chapter.
bloodlines,Bloodlines,008,008,Batman Annual,17,outbreak,gotham,collect,Yes,No,OWNED - EDITION UNCLASSIFIED,No,No,gotham,OWNED,OWNED,,Collection sheet: Batman row 327,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Outbreak chapter; Gotham/Batman tie-in.
bloodlines,Bloodlines,009,009,Justice League International Annual,4,outbreak,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Outbreak chapter.,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Outbreak chapter.
bloodlines,Bloodlines,010,010,Robin (Vol. 2) Annual,2,earthplague,gotham,collect,Yes,No,OWNED - EDITION UNCLASSIFIED,No,No,gotham,OWNED,OWNED,,Collection sheet: Batman row 621,https://en.wikipedia.org/wiki/Bloodlines_(comics),reference,Earthplague chapter; Gotham/Batman tie-in.
