event_id,event_name,reading_order,sequence,series,issue_number,role,priority,collecting_status,owned,ordered,owned_format,readable_via_collection,missing,optional_or_required,ownership_status,shopping_status,shopping_priority,matched_collection_rows,source_url,confidence,notes
zero_hour,Zero Hour: Crisis in Time,001,001,Zero Hour: Crisis in Time,4,core,required,collect,Yes,No,OWNED - EDITION UNCLASSIFIED,No,No,required,OWNED,OWNED,,Collection sheet: Other row 2,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Core miniseries counts down from 4 to 0.
zero_hour,Zero Hour: Crisis in Time,002,002,Zero Hour: Crisis in Time,3,core,required,collect,Yes,No,OWNED - EDITION UNCLASSIFIED,No,No,required,OWNED,OWNED,,Collection sheet: Other row 3,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Core miniseries counts down from 4 to 0.
zero_hour,Zero Hour: Crisis in Time,003,003,Zero Hour: Crisis in Time,2,core,required,collect,Yes,No,OWNED - EDITION UNCLASSIFIED,No,No,required,OWNED,OWNED,,Collection sheet: Other row 4,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Core miniseries counts down from 4 to 0.
zero_hour,Zero Hour: Crisis in Time,004,004,Zero Hour: Crisis in Time,1,core,required,collect,Yes,No,OWNED - EDITION UNCLASSIFIED,No,No,required,OWNED,OWNED,,Collection sheet: Other row 5,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Core miniseries counts down from 4 to 0.
zero_hour,Zero Hour: Crisis in Time,005,005,Zero Hour: Crisis in Time,0,core,required,collect,Yes,No,OWNED - EDITION UNCLASSIFIED,No,No,required,OWNED,OWNED,,Collection sheet: Other row 6,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Core miniseries counts down from 4 to 0.
zero_hour,Zero Hour: Crisis in Time,010,010,Showcase '94,8,prelude,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,HIGH,absent_from_sheet; Prelude tie-in.; absent_from_sheet; Prelude tie-in.; Complete-run target; missing verified issues are wanted.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Prelude tie-in.
zero_hour,Zero Hour: Crisis in Time,011,011,Showcase '94,9,prelude,optional,review,Yes,No,OWNED - EDITION UNCLASSIFIED,No,No,optional,OWNED,OWNED,MEDIUM,Collection sheet: Batman row 652; Configured range: Showcase ’94 #1-12; Complete-run target; missing verified issues are wanted.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Prelude tie-in.
zero_hour,Zero Hour: Crisis in Time,012,012,Showcase '94,10,prelude,optional,review,Yes,No,OWNED - EDITION UNCLASSIFIED,No,No,optional,OWNED,OWNED,MEDIUM,Collection sheet: Batman row 128; Configured range: Showcase ’94 #1-12; Complete-run target; missing verified issues are wanted.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Prelude tie-in.
zero_hour,Zero Hour: Crisis in Time,020,020,Action Comics,703,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
zero_hour,Zero Hour: Crisis in Time,021,021,The Adventures of Superman,516,tie_in,optional,review,No,No,NO CONFIRMED FACSIMILE,No,Yes,optional,MISSING,BUY,,Wider DC tie-in.,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,reference,Wider DC tie-in.
