sequence,publication_year,cover_date,parent_series,series,issue_number,publication_id,known_in_reference_data,owned,ownership_status,edition_status,original_owned,facsimile_owned,owned_uncertain,readable_copy_count,ordered_not_arrived,readable_via_collection,story_event_item_membership,shopping_status,shopping_priority,source_url,confidence,notes
1986.010,1986,1986,Batman,Batman Annual,10,PUB-BAT-ANN-0010,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-BAT-ANN-0010
1986.090,1986,1986,The Outsiders,The Outsiders Annual,1,PUB-OUTSIDERS-ANN-0001,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,,OPTIONAL,,https://en.wikipedia.org/wiki/List_of_Batman_comics,partial,Annual publication reference: PUB-OUTSIDERS-ANN-0001
1987.010,1987,1987,Batman,Batman Annual,11,PUB-BAT-ANN-0011,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Publication alias: PUB-BAT-ANN-0011; Collection sheet: Batman row 329; Annual publication reference: PUB-BAT-ANN-0011
1988.010,1988,1988,Batman,Batman Annual,12,PUB-BAT-ANN-0012,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-BAT-ANN-0012
1988.020,1988,1988,Detective Comics,Detective Comics Annual,1,PUB-DET-ANN-0001,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 582; Annual publication reference: PUB-DET-ANN-0001
1989.010,1989,1989,Batman,Batman Annual,13,PUB-BAT-ANN-0013,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Publication alias: PUB-BAT-ANN-0013; Collection sheet: Batman row 330; Annual publication reference: PUB-BAT-ANN-0013
1989.020,1989,1989,Detective Comics,Detective Comics Annual,2,PUB-DET-ANN-0002,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 583; Annual publication reference: PUB-DET-ANN-0002
1990.010,1990,1990,Batman,Batman Annual,14,PUB-BAT-ANN-0014,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-BAT-ANN-0014
1990.020,1990,1990,Detective Comics,Detective Comics Annual,3,PUB-DET-ANN-0003,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 584; Annual publication reference: PUB-DET-ANN-0003
1991.010,1991,1991,Batman,Batman Annual,15,PUB-BAT-ANN-0015,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Armageddon 2001,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-BAT-ANN-0015
1991.020,1991,1991,Detective Comics,Detective Comics Annual,4,PUB-DET-ANN-0004,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Armageddon 2001,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 585; Annual publication reference: PUB-DET-ANN-0004
1991.030,1991,1991,Legends of the Dark Knight,Batman: Legends of the Dark Knight Annual,1,PUB-LOTDK-ANN-0001,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,,OWNED,,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28K%E2%80%93O%29,verified,Collection sheet: Batman row 394; Annual publication reference: PUB-LOTDK-ANN-0001
1992.010,1992,1992,Batman,Batman Annual,16,PUB-BAT-ANN-0016,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,Eclipso: The Darkness Within,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-BAT-ANN-0016
1992.020,1992,1992,Detective Comics,Detective Comics Annual,5,PUB-DET-ANN-0005,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Eclipso: The Darkness Within,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Collection sheet: Batman row 586; Annual publication reference: PUB-DET-ANN-0005
1992.030,1992,1992,Legends of the Dark Knight,Batman: Legends of the Dark Knight Annual,2,PUB-LOTDK-ANN-0002,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Eclipso: The Darkness Within,OWNED,,https://en.wikipedia.org/wiki/List_of_DC_Comics_publications_%28K%E2%80%93O%29,verified,Collection sheet: Batman row 395; Annual publication reference: PUB-LOTDK-ANN-0002
1992.050,1992,1992,Robin,Robin (Vol. 2) Annual,1,PUB-ROBIN-V2-ANN-0001,Yes,No,MISSING,NO CONFIRMED FACSIMILE,No,No,No,0,No,No,,BUY,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Annual publication reference: PUB-ROBIN-V2-ANN-0001
1993.010,1993,1993,Batman,Batman Annual,17,PUB-BAT-ANN-0017,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Bloodlines,OWNED,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,verified,Collection sheet: Batman row 327; Annual publication reference: PUB-BAT-ANN-0017
1993.020,1993,1993,Detective Comics,Detective Comics Annual,6,PUB-DET-ANN-0006,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Bloodlines,OWNED,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,verified,Collection sheet: Batman row 587; Annual publication reference: PUB-DET-ANN-0006
1993.030,1993,1993,Batman: Legends of the Dark Knight,Batman: Legends of the Dark Knight Annual,3,PUB-LOTDK-ANN-0003,Yes,Yes,OWNED,OWNED - EDITION UNCLASSIFIED,No,No,Yes,1,No,No,Bloodlines,OWNED,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,verified,Collection sheet: Batman row 396; Annual publication reference: PUB-LOTDK-ANN-0003
