chronological_sequence,item_id,item_name,item_type,parent_item_id,start_date,end_date,primary_series,issue_count,coverage_level,checklist_complete,reading_order_verified,owned_count,ordered_count,missing_count,completion_percentage,previous_item,next_item,source_url,confidence,notes
001,knightsend,KnightsEnd,crossover,knightfall_era,1994,1994,Batman / Detective Comics / Shadow of the Bat / Robin,34,Level A,No,No,34,0,0,100.0,knightquest,prodigal,data/processed/comics_master.csv,partial,Existing imported Knightfall Era phase.
002,prodigal,Prodigal,crossover,knightfall_era,1994,1995,Batman / Detective Comics / Shadow of the Bat / Robin,13,Level B,Yes,Yes,13,0,0,100.0,knightsend,troika,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,verified,Verified 12-part post-KnightsEnd story.
003,troika,Troika,crossover,knightfall_era,1995,1995,Batman / Detective Comics / Shadow of the Bat / Robin,6,Level B,Yes,No,6,0,0,100.0,prodigal,contagion,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Core Troika banner plus collected-edition context.
004,contagion,Batman: Contagion,crossover,,1996,1996,Batman family,20,Level B,Yes,No,12,0,8,60.0,troika,legacy,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,partial,Current checklist is curated but exact expanded scope remains partial.
005,legacy,Batman: Legacy,crossover,,1996,1996,Batman family,18,Level B,Yes,No,10,0,8,55.6,contagion,knight_out,https://en.wikipedia.org/wiki/List_of_Batman_comics,partial,Current checklist includes prequel/core/epilogue rows; exact scope still review-grade.
006,knight_out,Batman: Knight Out,arc,,1997,1998,Detective Comics,16,Level B,Yes,No,0,0,16,0.0,legacy,cataclysm,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Detected bridge collection covering Detective Comics #703-718.
007,cataclysm,Batman: Cataclysm,crossover,no_mans_land_saga,1998,1998,Batman family,18,Level C,Yes,Yes,4,0,14,22.2,knight_out,aftershock,https://en.wikipedia.org/wiki/Batman%3A_Cataclysm,verified,Verified 18-chapter earthquake crossover.
008,aftershock,Aftershock,crossover,no_mans_land_saga,1998,1998,Batman family,16,Level B,Yes,No,0,0,16,0.0,cataclysm,road_to_no_mans_land,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,review,Working scope uses Road to No Man's Land Vol. 1 contents pending a stronger Aftershock boundary source.
009,road_to_no_mans_land,Road to No Man's Land,crossover,no_mans_land_saga,1998,1999,Batman family,15,Level B,Yes,No,0,0,15,0.0,aftershock,no_mans_land,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Verified collected prelude scope leading into No Man's Land.
010,no_mans_land,Batman: No Man's Land,crossover,no_mans_land_saga,1999,1999,Batman family,86,Level B,Yes,No,0,0,86,0.0,road_to_no_mans_land,,https://en.wikipedia.org/wiki/Batman%3A_No_Man%27s_Land,verified,Complete crossover membership is represented; exact inter-title reading order still not asserted.
