publication_id,canonical_title,series_title,issue_number,publication_year,publication_date,format_type,continuity_type,universe_setting,item_id,parent_item_id,story_name,character_focus,owned,ownership_status,ordered,edition_status,readable_via_collection,shopping_status,shopping_priority,source,confidence,notes
PUB-BATGIRL-SPECIAL-0001,Batgirl Special #1,Batgirl Special,1,1988,,SPECIAL,MAIN_CONTINUITY,Post-Crisis local,modern_local_specials_one_shots,modern_local_special_format_universe,Batgirl Special,Batgirl,No,ORDERED,Yes,ORDERED ORIGINAL,No,ORDERED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Sequel/conclusion to Secret Origins Vol. 2 #20; ordered original in local data.
PUB-BAT-KILLING-JOKE-0001,Batman: The Killing Joke #1,Batman: The Killing Joke,1,1988,,PRESTIGE_ONE_SHOT,MAIN_CONTINUITY,Post-Crisis local,modern_local_specials_one_shots,modern_local_special_format_universe,Batman: The Killing Joke,Batman / Joker / Barbara Gordon,No,ORDERED,Yes,ORDERED FACSIMILE,No,ORDERED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Prestige one-shot; facsimile and deluxe editions tracked elsewhere.
PUB-GOTHAM-BY-GASLIGHT,local by Gaslight,local by Gaslight,,1989,1989-02,GRAPHIC_NOVEL,ELSEWORLDS,Victorian local,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,local by Gaslight,Batman,Yes,OWNED,No,OWNED - EDITION UNCLASSIFIED,No,OWNED,,https://en.wikipedia.org/wiki/local_by_Gaslight,verified,First Batman Elseworlds story; not originally branded at publication.
PUB-BAT-RED-RAIN,Batman & Dracula: Red Rain,Batman & Dracula: Red Rain,,1991,,GRAPHIC_NOVEL,ELSEWORLDS,Batman Vampire,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Red Rain,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,First Batman Vampire trilogy book.
PUB-BAT-HOLY-TERROR,Batman: Holy Terror,Batman: Holy Terror,,1991,,GRAPHIC_NOVEL,ELSEWORLDS,Alternate theocracy,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Holy Terror,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Published under Elseworlds logo.
PUB-BAT-MASTER-FUTURE,Batman: Master of the Future,Batman: Master of the Future,,1991,,GRAPHIC_NOVEL,ELSEWORLDS,Victorian local,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Master of the Future,Batman,Yes,OWNED,No,OWNED - EDITION UNCLASSIFIED,No,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Sequel to local by Gaslight.
PUB-BATMAN-GOTHAM-NIGHTS-0001,Batman: local Nights,Batman: local Nights,1,1992,,MINISERIES,CONTINUITY_UNCERTAIN,local,modern_local_miniseries,modern_local_special_format_universe,local Nights,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Issue 1 of 4.
PUB-BATMAN-GOTHAM-NIGHTS-0002,Batman: local Nights,Batman: local Nights,2,1992,,MINISERIES,CONTINUITY_UNCERTAIN,local,modern_local_miniseries,modern_local_special_format_universe,local Nights,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Issue 2 of 4.
PUB-BATMAN-GOTHAM-NIGHTS-0003,Batman: local Nights,Batman: local Nights,3,1992,,MINISERIES,CONTINUITY_UNCERTAIN,local,modern_local_miniseries,modern_local_special_format_universe,local Nights,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Issue 3 of 4.
PUB-BATMAN-GOTHAM-NIGHTS-0004,Batman: local Nights,Batman: local Nights,4,1992,,MINISERIES,CONTINUITY_UNCERTAIN,local,modern_local_miniseries,modern_local_special_format_universe,local Nights,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Issue 4 of 4.
PUB-BAT-RUN-RIDDLER-RUN-0001,Batman: Run Riddler Run,Batman: Run Riddler Run,1,1992,,MINISERIES,CONTINUITY_UNCERTAIN,local,modern_local_miniseries,modern_local_special_format_universe,Run Riddler Run,Batman / Riddler,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Issue 1 of 3.
PUB-BAT-RUN-RIDDLER-RUN-0002,Batman: Run Riddler Run,Batman: Run Riddler Run,2,1992,,MINISERIES,CONTINUITY_UNCERTAIN,local,modern_local_miniseries,modern_local_special_format_universe,Run Riddler Run,Batman / Riddler,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Issue 2 of 3.
PUB-BAT-RUN-RIDDLER-RUN-0003,Batman: Run Riddler Run,Batman: Run Riddler Run,3,1992,,MINISERIES,CONTINUITY_UNCERTAIN,local,modern_local_miniseries,modern_local_special_format_universe,Run Riddler Run,Batman / Riddler,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Issue 3 of 3.
PUB-BAT-DARK-JOKER-WILD,Batman: Dark Joker - The Wild,Batman: Dark Joker - The Wild,,1993,,GRAPHIC_NOVEL,ELSEWORLDS,Fantasy Elseworld,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Dark Joker - The Wild,Batman / Joker,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Collected in Elseworlds: Batman Volume One.
PUB-BAT-SEDUTION-GUN,Batman: Seduction of the Gun,Batman: Seduction of the Gun,,1993,,ONE_SHOT,MAIN_CONTINUITY,Post-Crisis local,modern_local_specials_one_shots,modern_local_special_format_universe,Seduction of the Gun,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Standalone issue.
PUB-BAT-VENGEANCE-OF-BANE-0001,Batman: Vengeance of Bane,Batman: Vengeance of Bane,1,1993,,ONE_SHOT,MAIN_CONTINUITY,Knightfall,vengeance_of_bane,modern_local_special_format_universe,Vengeance of Bane,Bane,Yes,OWNED,No,OWNED - EDITION UNCLASSIFIED,No,OWNED,,https://en.wikipedia.org/wiki/Batman%3A_Knightfall,verified,Bane setup for Knightfall.
PUB-BAT-SPAWN-WAR-DEVIL,Batman/Spawn: War Devil,Batman/Spawn: War Devil,,1994,,PRESTIGE_ONE_SHOT,CROSS_COMPANY,DC/Image crossover,modern_local_special_format_universe,modern_local_special_format_universe,War Devil,Batman / Spawn,Yes,OWNED,No,OWNED PUBLICATION,No,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Owned cross-company prestige one-shot.
PUB-BAT-BLOODSTORM,Batman: Bloodstorm,Batman: Bloodstorm,,1994,,GRAPHIC_NOVEL,ELSEWORLDS,Batman Vampire,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Bloodstorm,Batman / Catwoman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Second Batman Vampire trilogy book.
PUB-BAT-CASTLE-OF-THE-BAT,Batman: Castle of the Bat,Batman: Castle of the Bat,,1994,,GRAPHIC_NOVEL,ELSEWORLDS,Frankenstein-inspired Elseworld,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Castle of the Bat,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Collected in Elseworlds: Batman Volume One.
PUB-BAT-IN-DARKEST-KNIGHT,Batman: In Darkest Knight,Batman: In Darkest Knight,,1994,,GRAPHIC_NOVEL,ELSEWORLDS,Green Lantern Batman,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,In Darkest Knight,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Collected in Elseworlds: Batman Volume One.
PUB-BAT-BROTHERHOOD-BAT,Batman: Brotherhood of the Bat,Batman: Brotherhood of the Bat,,1995,,GRAPHIC_NOVEL,ELSEWORLDS,Son of the Demon future,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Brotherhood of the Bat,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Sequel/same-universe relation to KnightGallery.
PUB-BAT-KNIGHTGALLERY,Batman: KnightGallery,Batman: KnightGallery,,1995,,GRAPHIC_NOVEL,ELSEWORLDS,Son of the Demon future,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,KnightGallery,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Elseworlds story related to Brotherhood of the Bat and later League of Batmen.
PUB-BAT-RIDDLE-FACTORY,Batman: Riddler - The Riddle Factory,Batman: Riddler - The Riddle Factory,,1995,,ONE_SHOT,MAIN_CONTINUITY,Post-Crisis local,modern_local_specials_one_shots,modern_local_special_format_universe,The Riddle Factory,Riddler,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Standalone villain-focused issue.
PUB-VENGEANCE-OF-BANE-0002,Batman: Vengeance of Bane II,Vengeance of Bane,2,1995,,ONE_SHOT,MAIN_CONTINUITY,Post-KnightsEnd,modern_local_specials_one_shots,modern_local_special_format_universe,Vengeance of Bane II,Bane,Yes,OWNED,No,OWNED - EDITION UNCLASSIFIED,No,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Follow-up one-shot.
PUB-NIGHTWING-ALFREDS-RETURN,Nightwing: Alfred's Return,Nightwing: Alfred's Return,,1995,,ONE_SHOT,MAIN_CONTINUITY,Post-KnightsEnd,troika,modern_local_special_format_universe,Nightwing: Alfred's Return,Nightwing / Alfred,Yes,OWNED,No,OWNED - EDITION UNCLASSIFIED,No,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,verified,Related to Troika collected context; ownership alias already canonicalized.
PUB-BAT-CAPTAIN-AMERICA,Batman & Captain America,Batman & Captain America,,1996,,PRESTIGE_ONE_SHOT,ELSEWORLDS,Golden Age Marvel/DC crossover,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Batman & Captain America,Batman / Captain America,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Elseworlds and cross-company crossover.
PUB-BAT-SCAR-OF-THE-BAT,Batman: Scar of the Bat,Batman: Scar of the Bat,,1996,,GRAPHIC_NOVEL,ELSEWORLDS,Prohibition-era Batman,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Scar of the Bat,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Collected in Elseworlds: Batman Volume Three.
PUB-BAT-MASQUE,Batman: Masque,Batman: Masque,,1997,,GRAPHIC_NOVEL,ELSEWORLDS,Phantom-inspired Elseworld,batman_local_elseworlds_1989_1999,modern_local_special_format_universe,Masque,Batman,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Collected in Elseworlds: Batman Volume Three.
PUB-BAT-THRILLKILLER-0001,Batgirl and Robin: Thrillkiller,Batgirl and Robin: Thrillkiller,1,1997,1997-01,MINISERIES,ELSEWORLDS,Thrillkiller,batman_thrillkiller,batman_local_elseworlds_1989_1999,Thrillkiller,Batgirl / Robin,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Issue 1 of 3.
PUB-BAT-THRILLKILLER-0002,Batgirl and Robin: Thrillkiller,Batgirl and Robin: Thrillkiller,2,1997,1997-02,MINISERIES,ELSEWORLDS,Thrillkiller,batman_thrillkiller,batman_local_elseworlds_1989_1999,Thrillkiller,Batgirl / Robin,No,MISSING,No,,No,,,https://en.wikipedia.org/wiki/List_of_Elseworlds_publications,verified,Issue 2 of 3.
