candidate_cluster_id,series,issue_start,issue_end,owned_issue_count,ordered_issue_count,story_names,story_arcs,events,existing_item_ids,sample_issues,candidate_reason,notes
52_aftermath_the_crime_bible_five_lessons_of_blood_1_5,52 Aftermath: The Crime Bible: Five Lessons of Blood,1,5,5,0,Countdown to Final Crisis,Countdown to Final Crisis,,crime_bible_five_lessons,52 Aftermath: The Crime Bible: Five Lessons of Blood #1; 52 Aftermath: The Crime Bible: Five Lessons of Blood #2; 52 Aftermath: The Crime Bible: Five Lessons of Blood #3; 52 Aftermath: The Crime Bible: Five Lessons of Blood #4; 52 Aftermath: The Crime Bible: Five Lessons of Blood #5,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
absolute_batman_1_21,Absolute Batman,1,21,4,17,Absolute Batman,Absolute Batman,,absolute_batman,Absolute Batman #1; Absolute Batman #2; Absolute Batman #3; Absolute Batman #4; Absolute Batman #5; Absolute Batman #6; Absolute Batman #7; Absolute Batman #8; Absolute Batman #9; Absolute Batman #10; Absolute Batman #11; Absolute Batman #12,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
action_comics_611_614,Action Comics,611,614,4,0,Catwoman,Catwoman,,catwoman,Action Comics #611; Action Comics #612; Action Comics #613; Action Comics #614,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_404_407,Batman,404,407,4,0,Year One,Year One,,modern_local_numbered_batman_detective_to_nml; year_one,Batman #404; Batman #405; Batman #406; Batman #407,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_419_421,Batman,419,421,3,0,,,,modern_local_numbered_batman_detective_to_nml; ten_nights_of_the_beast,Batman #419; Batman #420; Batman #421,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_426_430,Batman,426,430,3,4,A Death In The Family; Fatal Wish,A Death In The Family; Fatal Wish,,a_death_in_the_family; fatal_wish; modern_local_numbered_batman_detective_to_nml,Batman #426; Batman #427; Batman #428; Batman #429; Batman #430,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_432_439,Batman,432,439,8,0,Dead Letter Office; The Many Deaths Of...; Year Three,Dead Letter Office; The Many Deaths Of...; Year Three,,dead_letter_office; many_deaths_of_batman; modern_local_numbered_batman_detective_to_nml; the_many_deaths_of; year_three,Batman #432; Batman #433; Batman #434; Batman #435; Batman #436; Batman #437; Batman #438; Batman #439,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_446_449,Batman,446,449,4,0,The Penguin Affair,The Penguin Affair,,modern_local_numbered_batman_detective_to_nml,Batman #446; Batman #447; Batman #448; Batman #449,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_455_462,Batman,455,462,8,0,Robin Reborn,Robin Reborn,,dark_knight_dark_city; modern_local_numbered_batman_detective_to_nml; robin_reborn,Batman #455; Batman #456; Batman #457; Batman #458; Batman #459; Batman #460; Batman #461; Batman #462,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_466_474,Batman,466,474,9,0,,,,destroyer; modern_local_numbered_batman_detective_to_nml,Batman #466; Batman #467; Batman #468; Batman #469; Batman #470; Batman #471; Batman #472; Batman #473; Batman #474,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_476_523,Batman,476,523,48,0,A local Tale; Blackmask; Crash And Burn; Killer Croc; Knightfall; Knightquest; Knightsend; Pagan; Scarecrow; Sleeper; To The Father I Never Knew...; Zero Hour; Zeus,A local Tale; Blackmask; Crash And Burn; Killer Croc; Knightfall; Knightquest; Knightsend; Pagan; Scarecrow; Sleeper; To The Father I Never Knew...; Zero Hour; Zeus,,a_local_tale; blackmask; crash_and_burn; killer_croc; knightfall; knightquest; knightsend; modern_local_numbered_batman_detective_to_nml; pagan; prelude_to_knightfall; prodigal; scarecrow; sleeper; to_the_father_i_never_knew; troika; zero_hour; zeus,Batman #476; Batman #477; Batman #478; Batman #479; Batman #480; Batman #481; Batman #482; Batman #483; Batman #484; Batman #485; Batman #486; Batman #487,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_525_535,Batman,525,535,11,0,Batman: Contagion; Constant Whitewater; Contagion; Frozen Assets; Legacy; Two-Face,Batman: Contagion; Constant Whitewater; Contagion; Frozen Assets; Legacy; Two-Face,,constant_whitewater; contagion; frozen_assets; legacy; modern_local_numbered_batman_detective_to_nml; two_face,Batman #525; Batman #526; Batman #527; Batman #528; Batman #529; Batman #530; Batman #531; Batman #532; Batman #533; Batman #534; Batman #535,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_537_539,Batman,537,539,3,0,,,,modern_local_numbered_batman_detective_to_nml,Batman #537; Batman #538; Batman #539,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_541_545,Batman,541,545,5,0,,,,modern_local_numbered_batman_detective_to_nml,Batman #541; Batman #542; Batman #543; Batman #544; Batman #545,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_and_the_outsiders_1_16,Batman and The Outsiders,1,16,16,0,,,,batman_and_outsiders_batman_led,Batman and The Outsiders #1; Batman and The Outsiders #2; Batman and The Outsiders #3; Batman and The Outsiders #4; Batman and The Outsiders #5; Batman and The Outsiders #6; Batman and The Outsiders #7; Batman and The Outsiders #8; Batman and The Outsiders #9; Batman and The Outsiders #10; Batman and The Outsiders #11; Batman and The Outsiders #12,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_bane_of_the_demon_1_4,Batman - Bane Of The Demon,1,4,4,0,Bane Of The Demon,Bane Of The Demon,,bane_of_the_demon; legacy,Batman - Bane Of The Demon #1; Batman - Bane Of The Demon #2; Batman - Bane Of The Demon #3; Batman - Bane Of The Demon #4,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_cult_1_4,Batman: Cult,1,4,4,0,Cult,Cult,,the_cult,Batman: Cult #1; Batman: Cult #2; Batman: Cult #3; Batman: Cult #4,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_gordons_law_1_4,Batman Gordon's Law,1,4,4,0,Gordon's Law,Gordon's Law,,gordons_law,Batman Gordon's Law #1; Batman Gordon's Law #2; Batman Gordon's Law #3; Batman Gordon's Law #4,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_jazz_1_3,Batman - Jazz,1,3,3,0,Jazz,Jazz,,jazz,Batman - Jazz #1; Batman - Jazz #2; Batman - Jazz #3,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_legends_of_the_dark_knight_1_20,Batman: Legends of the Dark Knight,1,20,20,0,Gothic; Prey; Shaman; Venom,Gothic; Prey; Shaman; Venom,,gothic; lotdk_gothic; lotdk_prey; lotdk_shaman; lotdk_venom; prey; shaman; venom,Batman: Legends of the Dark Knight #1; Batman: Legends of the Dark Knight #2; Batman: Legends of the Dark Knight #3; Batman: Legends of the Dark Knight #4; Batman: Legends of the Dark Knight #5; Batman: Legends of the Dark Knight #6; Batman: Legends of the Dark Knight #7; Batman: Legends of the Dark Knight #8; Batman: Legends of the Dark Knight #9; Batman: Legends of the Dark Knight #10; Batman: Legends of the Dark Knight #11; Batman: Legends of the Dark Knight #12,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_legends_of_the_dark_knight_22_27,Batman: Legends of the Dark Knight,22,27,6,0,Destroyer; Faith; Flyer,Destroyer; Faith; Flyer,,destroyer; faith; flyer; lotdk_faith; lotdk_flyer,Batman: Legends of the Dark Knight #22; Batman: Legends of the Dark Knight #23; Batman: Legends of the Dark Knight #24; Batman: Legends of the Dark Knight #25; Batman: Legends of the Dark Knight #26; Batman: Legends of the Dark Knight #27,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_legends_of_the_dark_knight_57_67,Batman: Legends of the Dark Knight,57,67,11,0,Going Sane; Knightquest; Knightsend; Storm; Terminus; Watchtower,Going Sane; Knightquest; Knightsend; Storm; Terminus; Watchtower,,going_sane; knightquest; knightsend; storm; terminus; watchtower,Batman: Legends of the Dark Knight #57; Batman: Legends of the Dark Knight #58; Batman: Legends of the Dark Knight #59; Batman: Legends of the Dark Knight #60; Batman: Legends of the Dark Knight #61; Batman: Legends of the Dark Knight #62; Batman: Legends of the Dark Knight #63; Batman: Legends of the Dark Knight #64; Batman: Legends of the Dark Knight #65; Batman: Legends of the Dark Knight #66; Batman: Legends of the Dark Knight #67,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_legends_of_the_dark_knight_annual_1_3,Batman: Legends of the Dark Knight Annual,1,3,3,0,Bloodlines; Eclipso: The Darkness Within,Bloodlines; Eclipso: The Darkness Within,,bloodlines; modern_local_annuals,Batman: Legends of the Dark Knight Annual #1; Batman: Legends of the Dark Knight Annual #2; Batman: Legends of the Dark Knight Annual #3,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_shadow_of_the_bat_16_36,Batman: Shadow of the Bat,16,36,21,0,Knightfall; Knightquest; Knightsend; Zero Hour,Knightfall; Knightquest; Knightsend; Zero Hour,,knightfall; knightquest; knightsend; prodigal; troika; zero_hour,Batman: Shadow of the Bat #16; Batman: Shadow of the Bat #17; Batman: Shadow of the Bat #18; Batman: Shadow of the Bat #19; Batman: Shadow of the Bat #20; Batman: Shadow of the Bat #21; Batman: Shadow of the Bat #22; Batman: Shadow of the Bat #23; Batman: Shadow of the Bat #24; Batman: Shadow of the Bat #25; Batman: Shadow of the Bat #26; Batman: Shadow of the Bat #27,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_the_last_halloween_0_10,Batman The Last Halloween,0,10,11,0,Long Halloween,Long Halloween,,long_halloween_family,Batman The Last Halloween #0; Batman The Last Halloween #1; Batman The Last Halloween #2; Batman The Last Halloween #3; Batman The Last Halloween #4; Batman The Last Halloween #5; Batman The Last Halloween #6; Batman The Last Halloween #7; Batman The Last Halloween #8; Batman The Last Halloween #9; Batman The Last Halloween #10,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_turning_points_1_5,Batman - Turning Points,1,5,5,0,Turning Points,Turning Points,,turning_points,Batman - Turning Points #1; Batman - Turning Points #2; Batman - Turning Points #3; Batman - Turning Points #4; Batman - Turning Points #5,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
batman_wildcat_1_3,Batman - Wildcat,1,3,3,0,Batman - Wildcat,Batman - Wildcat,,batman_wildcat,Batman - Wildcat #1; Batman - Wildcat #2; Batman - Wildcat #3,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
beowolf_dragon_slayer_1_6,Beowolf Dragon Slayer,1,6,6,0,,,,,Beowolf Dragon Slayer #1; Beowolf Dragon Slayer #2; Beowolf Dragon Slayer #3; Beowolf Dragon Slayer #4; Beowolf Dragon Slayer #5; Beowolf Dragon Slayer #6,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
black_adam_the_dark_age_1_6,Black Adam: The Dark Age,1,6,6,0,Countdown to Final Crisis,Countdown to Final Crisis,,black_adam_dark_age,Black Adam: The Dark Age #1; Black Adam: The Dark Age #2; Black Adam: The Dark Age #3; Black Adam: The Dark Age #4; Black Adam: The Dark Age #5; Black Adam: The Dark Age #6,Consecutive owned/ordered issues; use as research candidate only.,Generated from shopping_index.csv. This is not verified story membership.
