item_id,item_name,item_type,parent_item_id,scope_id,scope_name,sequence,phase,series,issue_number,publication_id,publication_date,role,required_or_optional,reading_order_verified,owned,ownership_status,original_owned,facsimile_owned,edition_status,ordered,ordered_not_arrived,readable_via_collection,shopping_status,shopping_priority,source_url,source,confidence,source_table,notes
prodigal,Prodigal,crossover,knightfall_era,verified_core,Verified core reading order,001,Prodigal,Batman,512,PUB-BAT-0512,,core,required,Yes,Yes,OWNED,No,No,OWNED - EDITION UNCLASSIFIED,No,No,No,OWNED,HIGH,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,item_memberships.csv,verified,item_memberships.csv,Prodigal Part 1.
prodigal,Prodigal,crossover,knightfall_era,verified_core,Verified core reading order,002,Prodigal,Batman: Shadow of the Bat,32,PUB-SOTB-0032,,core,required,Yes,Yes,OWNED,No,No,OWNED - EDITION UNCLASSIFIED,No,No,No,OWNED,MEDIUM,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,item_memberships.csv,verified,item_memberships.csv,Prodigal Part 2.
prodigal,Prodigal,crossover,knightfall_era,verified_core,Verified core reading order,003,Prodigal,Detective Comics,679,PUB-DET-0679,,core,required,Yes,Yes,OWNED,No,No,OWNED - EDITION UNCLASSIFIED,No,No,No,OWNED,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,item_memberships.csv,verified,item_memberships.csv,Prodigal Part 3.
prodigal,Prodigal,crossover,knightfall_era,verified_core,Verified core reading order,004,Prodigal,Robin (Vol. 2),11,PUB-ROBIN-V2-0011,,core,required,Yes,Yes,OWNED,No,No,OWNED - EDITION UNCLASSIFIED,No,No,No,OWNED,LOW,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,item_memberships.csv,verified,item_memberships.csv,Prodigal Part 4.
prodigal,Prodigal,crossover,knightfall_era,verified_core,Verified core reading order,005,Prodigal,Batman,513,PUB-BAT-0513,,core,required,Yes,Yes,OWNED,No,No,OWNED - EDITION UNCLASSIFIED,No,No,No,OWNED,HIGH,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,item_memberships.csv,verified,item_memberships.csv,Prodigal Part 5.
prodigal,Prodigal,crossover,knightfall_era,verified_core,Verified core reading order,006,Prodigal,Batman: Shadow of the Bat,33,PUB-SOTB-0033,,core,required,Yes,Yes,OWNED,No,No,OWNED - EDITION UNCLASSIFIED,No,No,No,OWNED,MEDIUM,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,item_memberships.csv,verified,item_memberships.csv,Prodigal Part 6.
prodigal,Prodigal,crossover,knightfall_era,verified_core,Verified core reading order,007,Prodigal,Detective Comics,680,PUB-DET-0680,,core,required,Yes,Yes,OWNED,No,No,OWNED - EDITION UNCLASSIFIED,No,No,No,OWNED,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,item_memberships.csv,verified,item_memberships.csv,Prodigal Part 7.
prodigal,Prodigal,crossover,knightfall_era,verified_core,Verified core reading order,008,Prodigal,Robin (Vol. 2),12,PUB-ROBIN-V2-0012,,core,required,Yes,Yes,OWNED,No,No,OWNED - EDITION UNCLASSIFIED,No,No,No,OWNED,LOW,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,item_memberships.csv,verified,item_memberships.csv,Prodigal Part 8.
prodigal,Prodigal,crossover,knightfall_era,verified_core,Verified core reading order,009,Prodigal,Batman,514,PUB-BAT-0514,,core,required,Yes,Yes,OWNED,No,No,OWNED - EDITION UNCLASSIFIED,No,No,No,OWNED,HIGH,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,item_memberships.csv,verified,item_memberships.csv,Prodigal Part 9.
prodigal,Prodigal,crossover,knightfall_era,verified_core,Verified core reading order,010,Prodigal,Batman: Shadow of the Bat,34,PUB-SOTB-0034,,core,required,Yes,Yes,OWNED,No,No,OWNED - EDITION UNCLASSIFIED,No,No,No,OWNED,MEDIUM,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,item_memberships.csv,verified,item_memberships.csv,Prodigal Part 10.
prodigal,Prodigal,crossover,knightfall_era,verified_core,Verified core reading order,011,Prodigal,Detective Comics,681,PUB-DET-0681,,core,required,Yes,Yes,OWNED,No,No,OWNED - EDITION UNCLASSIFIED,No,No,No,OWNED,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,item_memberships.csv,verified,item_memberships.csv,Prodigal Part 11.
prodigal,Prodigal,crossover,knightfall_era,verified_core,Verified core reading order,012,Prodigal,Robin (Vol. 2),13,PUB-ROBIN-V2-0013,,core,required,Yes,Yes,OWNED,No,No,OWNED - EDITION UNCLASSIFIED,No,No,No,OWNED,LOW,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,item_memberships.csv,verified,item_memberships.csv,Prodigal Part 12.
prodigal,Prodigal,crossover,knightfall_era,collected_edition_context,Collected edition context,000,Prodigal,Robin (Vol. 2),0,PUB-ROBIN-V2-0000,,context,optional,No,Yes,OWNED,No,No,OWNED - EDITION UNCLASSIFIED,No,No,No,OWNED,LOW,https://en.wikipedia.org/wiki/List_of_Batman_comics,item_memberships.csv,verified,item_memberships.csv,Included in later Batman: Prodigal collected edition; not treated as numbered Prodigal part.
troika,Troika,crossover,knightfall_era,banner_core,Troika banner core,001,Troika,Detective Comics,682,PUB-DET-0682,,core,required,No,Yes,OWNED,No,No,OWNED - EDITION UNCLASSIFIED,No,No,No,OWNED,,https://en.wikipedia.org/wiki/List_of_Batman_comics,item_memberships.csv,verified,item_memberships.csv,Core Troika issue; sources differ on exact reading sequence.
