item_id,scope_id,scope_name,included_item_ids,issue_count,owned_count,ordered_count,missing_count,readable_via_collection_count,completion_percentage,notes
80_page_giant,story_identification,Story identification,80_page_giant,3,3,0,0,0,100.0,Direct item scope.
a_death_in_the_family,verified_membership,Verified membership,a_death_in_the_family,4,2,2,0,0,50.0,Direct item scope.
a_local_tale,story_identification,Story identification,a_local_tale,2,2,0,0,0,100.0,Direct item scope.
a_lonely_place_of_dying,verified_cross_title,Verified cross-title reading order,a_lonely_place_of_dying,5,1,0,2,2,20.0,Direct item scope.
absolute_batman,story_identification,Story identification,absolute_batman,23,4,19,0,0,17.4,Direct item scope.
absolute_catwoman,story_identification,Story identification,absolute_catwoman,2,0,2,0,0,0.0,Direct item scope.
absolute_wonder_woman,story_identification,Story identification,absolute_wonder_woman,1,0,1,0,0,0.0,Direct item scope.
aftershock,collected_road_vol_1,Aftershock / Road Vol. 1 collected scope,aftershock,16,0,0,16,0,0.0,Direct item scope.
annual_reference_universe,searchable_excluded_annuals,Searchable excluded annuals,annual_reference_universe,9,0,0,9,0,0.0,Direct item scope.
bane_conquest,story_identification,Story identification,bane_conquest,12,12,0,0,0,100.0,Direct item scope.
bane_of_the_demon,story_identification,Story identification,bane_of_the_demon,4,4,0,0,0,100.0,Direct item scope.
batman_and_outsiders_batman_led,batman_led_run,Batman-led Batman and the Outsiders run,batman_and_outsiders_batman_led,33,18,0,15,0,54.5,Direct item scope.
batman_annual_complete_run,original_1_24,Batman Annual original numbered sequence,batman_annual_complete_run,24,4,0,20,0,16.7,Direct item scope.
batman_family_complete_run,complete_physical_run,Batman Family complete physical run,batman_family_complete_run,20,0,0,20,0,0.0,Direct item scope.
batman_local_elseworlds_1989_1999,complete_special_format_universe,Complete special-format universe,batman_local_elseworlds_1989_1999,4,0,0,4,0,0.0,Direct item scope.
batman_local_elseworlds_1989_1999,elseworlds_1989_1999,Batman/local Elseworlds 1989-1999,batman_local_elseworlds_1989_1999,22,2,0,20,0,9.1,Direct item scope.
batman_knightsend,story_identification,Story identification,batman_knightsend,1,1,0,0,0,100.0,Direct item scope.
batman_punisher,story_identification,Story identification,batman_punisher,2,2,0,0,0,100.0,Direct item scope.
batman_thrillkiller,elseworlds_1989_1999,Batman/local Elseworlds 1989-1999,batman_thrillkiller,4,0,0,4,0,0.0,Direct item scope.
batman_wildcat,story_identification,Story identification,batman_wildcat,3,3,0,0,0,100.0,Direct item scope.
black_adam_dark_age,verified_membership,Verified membership,black_adam_dark_age,6,6,0,0,0,100.0,Direct item scope.
blackmask,story_identification,Story identification,blackmask,3,3,0,0,0,100.0,Direct item scope.
blind_justice,verified_membership,Verified membership,blind_justice,3,0,0,3,0,0.0,Direct item scope.
bloodlines,extended_dc_event,Extended DC event,bloodlines,25,10,0,15,0,40.0,Direct item scope.
brave_and_bold_batman_bronze,batman_team_up_run,Bronze-era Batman team-up run,brave_and_bold_batman_bronze,127,0,0,127,0,0.0,Direct item scope.
bronze_age_annuals,bronze_annuals,Bronze Age specials/miniseries/annuals,bronze_age_annuals,4,0,0,4,0,0.0,Direct item scope.
bronze_age_annuals,crisis_transition_annuals,Bronze Age specials/miniseries/annuals,bronze_age_annuals,1,0,0,1,0,0.0,Direct item scope.
bronze_age_batman_core,core_batman_detective,Core Batman and Detective Comics,bronze_age_batman_core,360,20,3,337,0,5.6,Direct item scope.
bronze_age_specials_miniseries,bronze_specials_minis,Bronze Age specials/miniseries/annuals,bronze_age_specials_miniseries,9,3,0,6,0,33.3,Direct item scope.
cataclysm,core_18_chapter,Verified 18-chapter Cataclysm,cataclysm,18,4,0,14,0,22.2,Direct item scope.
cataclysm,main_continuity_specials,Main-continuity specials,cataclysm,3,2,0,1,0,66.7,Direct item scope.
catwoman,story_identification,Story identification,catwoman,4,4,0,0,0,100.0,Direct item scope.
catwoman_wildcat,story_identification,Story identification,catwoman_wildcat,4,4,0,0,0,100.0,Direct item scope.
constant_whitewater,story_identification,Story identification,constant_whitewater,1,1,0,0,0,100.0,Direct item scope.
contagion,default,Current curated checklist,contagion,20,12,0,8,0,60.0,Direct item scope.
countdown_arena,verified_membership,Verified membership,countdown_arena,4,4,0,0,0,100.0,Direct item scope.
countdown_lord_havok_extremists,verified_membership,Verified membership,countdown_lord_havok_extremists,6,0,0,6,0,0.0,Direct item scope.
