title,run_id,gap_type,issue_ranges,issue_count
Batman,batman_404_574,not_owned,426-427; 440; 442,4
Batman,batman_404_574,absent_from_sheet,408-409; 412-413; 415; 417-418; 422-425; 431; 444-445; 450-451; 453-454; 463; 465; 475; 524; 536; 540; 546-547; 550-574,51
Detective Comics,detective_568_741,not_owned,575-578; 700-702,7
Detective Comics,detective_568_741,absent_from_sheet,568-569; 571-574; 579-587; 589-594; 596-600; 602-603; 608-609; 611-615; 622-623; 630; 632; 639; 641; 647-648; 691-692; 695; 697-699; 703-741,88
Warhammer Monthly,warhammer_monthly_0_86,absent_from_sheet,42; 50-51; 53-86,37
Catwoman (Vol.2),catwoman_vol2_1_94,not_owned,52; 54-55; 61; 63-70; 72-78; 81-84; 89; 91-92; 94,27
Batman: Legends of the Dark Knight,legends_dark_knight_1_214,absent_from_sheet,21; 28-36; 39-56; 68-78; 80-214,174
Batman: Shadow of the Bat,shadow_of_the_bat_1_94,not_owned,53-54,2
Batman: Shadow of the Bat,shadow_of_the_bat_1_94,absent_from_sheet,1-15; 37-52; 55-94,71
Batman Chronicles,batman_chronicles_1_23,absent_from_sheet,1-23,23
Heavy Metal,heavy_metal_1_30,absent_from_sheet,1-30,30
Richard Dragon,richard_dragon_1_18,not_owned,5; 7-9; 14,5
Richard Dragon,richard_dragon_1_18,absent_from_sheet,18,1
Showcase ’93,showcase_93_1_12,absent_from_sheet,5-6,2
Showcase ’94,showcase_94_1_12,absent_from_sheet,1-8; 11-12,10
Batman Family,batman_family_1_20,absent_from_sheet,1-20,20
Batman and The Outsiders,batman_and_the_outsiders_1_32,absent_from_sheet,17-28; 30-31,14
Robin (Vol. 2),robin_vol2_verified,not_owned,32-33,2
Robin (Vol. 2),robin_vol2_verified,absent_from_sheet,3-6; 19; 21-25; 27; 29-31; 34-63; 65-117; 119-183; 1000000,163
Azrael,azrael_verified,absent_from_sheet,0; 3-5; 8-15; 18-100; 1000000,96
