title,run_id,min_issue,max_issue,span_count,issues_in_sheet,owned_count,not_owned_count,mia_count,absent_from_sheet_count,missing_total_count,owned_ranges,not_owned_ranges,mia_ranges,absent_from_sheet_ranges,missing_total_ranges,uncertain_format_count
Batman,batman_404_574,404,574,171,139,116,4,0,51,55,404-407; 410-411; 414; 416; 419-421; 428-430; 432-439; 441; 443; 446-449; 452; 455-462; 464; 466-474; 476-523; 525-535; 537-539; 541-545; 548-549,426-427; 440; 442,,408-409; 412-413; 415; 417-418; 422-425; 431; 444-445; 450-451; 453-454; 463; 465; 475; 524; 536; 540; 546-547; 550-574,408-409; 412-413; 415; 417-418; 422-427; 431; 440; 442; 444-445; 450-451; 453-454; 463; 465; 475; 524; 536; 540; 546-547; 550-574,112
Detective Comics,detective_568_741,568,741,174,104,79,7,0,88,95,570; 588; 595; 601; 604-607; 610; 616-621; 624-629; 631; 633-638; 640; 642-646; 649-690; 693-694; 696,575-578; 700-702,,568-569; 571-574; 579-587; 589-594; 596-600; 602-603; 608-609; 611-615; 622-623; 630; 632; 639; 641; 647-648; 691-692; 695; 697-699; 703-741,568-569; 571-587; 589-594; 596-600; 602-603; 608-609; 611-615; 622-623; 630; 632; 639; 641; 647-648; 691-692; 695; 697-741,79
Warhammer Monthly,warhammer_monthly_0_86,0,86,87,50,50,0,0,37,37,0-41; 43-49; 52,,,42; 50-51; 53-86,42; 50-51; 53-86,50
Catwoman (Vol.2),catwoman_vol2_1_94,1,94,94,95,67,27,0,0,27,1-51; 53; 56-60; 62; 71; 79-80; 85-88; 90; 93,52; 54-55; 61; 63-70; 72-78; 81-84; 89; 91-92; 94,,,52; 54-55; 61; 63-70; 72-78; 81-84; 89; 91-92; 94,67
Batman: Legends of the Dark Knight,legends_dark_knight_1_214,1,214,214,41,40,0,0,174,174,1-20; 22-27; 37-38; 57-67; 79,,,21; 28-36; 39-56; 68-78; 80-214,21; 28-36; 39-56; 68-78; 80-214,40
Batman: Shadow of the Bat,shadow_of_the_bat_1_94,1,94,94,24,21,2,0,71,73,16-36,53-54,,1-15; 37-52; 55-94,1-15; 37-94,21
Batman Chronicles,batman_chronicles_1_23,1,23,23,0,0,0,0,23,23,,,,1-23,1-23,0
Heavy Metal,heavy_metal_1_30,1,30,30,0,0,0,0,30,30,,,,1-30,1-30,0
Richard Dragon,richard_dragon_1_18,1,18,18,17,12,5,0,1,6,1-4; 6; 10-13; 15-17,5; 7-9; 14,,18,5; 7-9; 14; 18,12
Showcase ’93,showcase_93_1_12,1,12,12,10,10,0,0,2,2,1-4; 7-12,,,5-6,5-6,10
Showcase ’94,showcase_94_1_12,1,12,12,2,2,0,0,10,10,9-10,,,1-8; 11-12,1-8; 11-12,2
Batman Family,batman_family_1_20,1,20,20,0,0,0,0,20,20,,,,1-20,1-20,0
Batman and The Outsiders,batman_and_the_outsiders_1_32,1,32,32,18,18,0,0,14,14,1-16; 29; 32,,,17-28; 30-31,17-28; 30-31,18
Robin (Vol. 2),robin_vol2_verified,0,183,185,22,20,2,0,163,165,0-2; 7-18; 20; 26; 28; 64; 118,32-33,,3-6; 19; 21-25; 27; 29-31; 34-63; 65-117; 119-183; 1000000,3-6; 19; 21-25; 27; 29-63; 65-117; 119-183; 1000000,20
Azrael,azrael_verified,0,100,102,6,6,0,0,96,96,1-2; 6-7; 16-17,,,0; 3-5; 8-15; 18-100; 1000000,0; 3-5; 8-15; 18-100; 1000000,6
