arc_id,arc_name,reading_order,series,issue_number,role,priority,collecting_status,ownership_status,owned_copy_count,matched_collection_rows,matched_formats,matched_notes,edition_review,source_url,notes
contagion,Batman: Contagion,001,Batman: Shadow of the Bat,48,core,required,collect,missing,0,,,,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,002,Detective Comics,695,core,required,collect,missing,0,,,,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,003,Robin (Vol. 2),27,core,required,collect,missing,0,,,,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,004,Catwoman (Vol. 2),31,core,required,collect,owned,1,Batman row 442: Catwoman (Vol.2) #31 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,005,Azrael,15,core,required,collect,missing,0,,,,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,006,Batman,529,core,required,collect,owned,1,Batman row 294: Batman #529 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,007,Detective Comics,696,core,required,collect,owned,1,Batman row 581: Detective Comics #696 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,008,The Batman Chronicles,4,core,required,collect,missing,0,,,,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,009,Catwoman (Vol. 2),32,core,required,collect,owned,1,Batman row 443: Catwoman (Vol.2) #32 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,010,Azrael,16,core,required,collect,owned,1,Batman row 171: Azrael #16 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,011,Robin (Vol. 2),28,core,required,collect,owned,1,Batman row 630: Robin (Vol. 2) #028 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,012,Batman: Shadow of the Bat,49,core,required,collect,missing,0,,,,,https://en.wikipedia.org/wiki/Publication_history_of_DC_Comics_crossover_events,Core crossover checklist.
contagion,Batman: Contagion,020,Batman,530,expanded,optional,review,owned,1,Batman row 295: Batman #530 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Batman%3A_Contagion,Listed in broader Contagion title range; review whether you want this as part of the expanded reading set.
contagion,Batman: Contagion,021,Batman,531,expanded,optional,review,owned,1,Batman row 296: Batman #531 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Batman%3A_Contagion,Listed in broader Contagion title range; review whether you want this as part of the expanded reading set.
contagion,Batman: Contagion,022,Batman,532,expanded,optional,review,owned,1,Batman row 297: Batman #532 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Batman%3A_Contagion,Listed in broader Contagion title range; review whether you want this as part of the expanded reading set.
contagion,Batman: Contagion,023,Catwoman (Vol. 2),33,expanded,optional,review,owned,1,Batman row 150: Catwoman (Vol.2) #33 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/List_of_Batman_comics,Included in some collected-edition listings; also overlaps Legacy prelude material.
contagion,Batman: Contagion,024,Catwoman (Vol. 2),34,expanded,optional,review,owned,1,Batman row 151: Catwoman (Vol.2) #34 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/List_of_Batman_comics,Included in some collected-edition listings; also overlaps Legacy prelude material.
contagion,Batman: Contagion,025,Catwoman (Vol. 2),35,expanded,optional,review,owned,1,Batman row 152: Catwoman (Vol.2) #35 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/List_of_Batman_comics,Included in some collected-edition listings; also overlaps Legacy prelude material.
contagion,Batman: Contagion,026,Robin (Vol. 2),29,expanded,optional,review,missing,0,,,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,Included in some collected-edition listings; review placement.
contagion,Batman: Contagion,027,Robin (Vol. 2),30,expanded,optional,review,missing,0,,,,,https://en.wikipedia.org/wiki/List_of_Batman_comics,Included in some collected-edition listings; review placement.
