story,owned_rows,not_owned_rows,mia_rows,uncertain_format_rows,sample_owned_rows
80 Page Giant,3,0,0,3,Batman Eighty Page Giant: 01 All The Deadly Days; Batman Eighty Page Giant: 02 Luck Of The Draw!; Batman Eighty Page Giant: 03 Gotham Freezes Over
A Death In The Family,2,2,0,2,Batman #428; Batman #429
A Gotham Tale,2,0,0,2,Batman #477; Batman #478
A Lonely Place of Dying,1,2,0,1,Batman #441
Absolute Batman,4,19,0,4,Absolute Batman #04; Absolute Batman #05; Absolute Batman #06; Absolute Batman #09
Absolute Catwoman,0,2,0,0,
Absolute Wonder Woman,0,1,0,0,
Bane Conquest,12,0,0,12,Bane Conquest 01; Bane Conquest 02; Bane Conquest 03; Bane Conquest 04; Bane Conquest 05
Bane Of The Demon,4,0,0,4,Batman - Bane Of The Demon #1; Batman - Bane Of The Demon #2; Batman - Bane Of The Demon #3; Batman - Bane Of The Demon #4
Batman - Punisher,2,0,0,2,Batman - Punisher; Punisher - Batman
Batman - Wildcat,3,0,0,3,Batman - Wildcat #1; Batman - Wildcat #2; Batman - Wildcat #3
Blackmask,3,0,0,3,Batman #518; Batman #519; Batman #520
Bloodlines,8,0,0,2,Batman: Shadow of the Bat - Annual 1: Bloodlines; Robin (Vol. 2) - Annual #02; Justice League Of America - Annual 07; Lobo - Annual 01; Superman In Action Comics - Annual 05
Catwoman,4,0,0,4,Action Comics #611; Action Comics #612; Action Comics #613; Action Comics #614
Catwoman Wildcat,4,0,0,4,Catwoman Wildcat 01; Catwoman Wildcat 02; Catwoman Wildcat 03; Catwoman Wildcat 04
Constant Whitewater,1,0,0,1,Batman #526
Contagion,7,0,0,7,Azrael #16; Azrael #17; Batman #529; Catwoman (Vol.2) #31; Catwoman (Vol.2) #32
Countdown to Final Crisis,67,0,0,67,Countdown Presents: The Search for Ray Palmer: Red Rain #01; Countdown: Arena #01; Countdown: Arena #02; Countdown: Arena #03; Countdown: Arena #04
Countdown to Infinite Crisis,12,0,0,12,Day of Vengeance #01; Day of Vengeance #02; Day of Vengeance #03; Day of Vengeance #04; Day of Vengeance #05
Crash And Burn,1,0,0,1,Batman #483
Crimesmith,1,0,0,1,Batman #443
Cry of The Huntress,6,0,0,6,Robin III #1; Robin III #2; Robin III #3; Robin III #4; Robin III #5
Cult,4,0,0,4,Batman: Cult #1; Batman: Cult #2; Batman: Cult #3; Batman: Cult #4
Dark Knight Returns,14,0,0,14,The Dark Knight Returns II - Strikes Again #01; The Dark Knight Returns II - Strikes Again #02; The Dark Knight Returns II - Strikes Again #03; The Dark Knight Returns III - Master Race #01; The Dark Knight Returns III - Master Race #02
"Dark Knight, Dark City",1,0,0,1,Batman #452
DC All-In,0,1,0,0,
Dead Letter Office,1,0,0,1,Batman #432
Death-Kiss!,1,0,0,1,Detective Comics #456
Destroyer,1,0,0,1,Batman: Legends of the Dark Knight #27
Doomsday Clock,12,0,0,12,Doomsday Clock #01; Doomsday Clock #02; Doomsday Clock #03; Doomsday Clock #04; Doomsday Clock #05
Facsimile,4,15,0,0,Brave and The Bold #054; Detective Comics #428 Facsimile Edition; Detective Comics #428 Robin Lives Facsimile Edition; MAD Vol. 1 Facsimile Edition #01
Faith,2,0,0,2,Batman: Legends of the Dark Knight #22; Batman: Legends of the Dark Knight #23
Fatal Wish,1,0,0,1,Batman #430
Favorite Things,1,0,0,1,Batman: Legends of the Dark Knight #79
Flyer,3,0,0,3,Batman: Legends of the Dark Knight #24; Batman: Legends of the Dark Knight #25; Batman: Legends of the Dark Knight #26
Frozen Assets,1,0,0,1,Batman #525
GCPD,4,0,0,4,Batman GCPD 01; Batman GCPD 02; Batman GCPD 03; Batman GCPD 04
Going Sane,3,0,0,3,Batman: Legends of the Dark Knight #65; Batman: Legends of the Dark Knight #66; Batman: Legends of the Dark Knight #67
Gordon Of Gotham,4,0,0,4,Batman Gordon Of Gotham 01; Batman Gordon Of Gotham 02; Batman Gordon Of Gotham 03; Batman Gordon Of Gotham 04
Gordon's Law,4,0,0,4,Batman Gordon's Law #01; Batman Gordon's Law #02; Batman Gordon's Law #03; Batman Gordon's Law #04
Gotham By Gaslight,1,0,0,1,Batman - Master Of The Future
Gotham by Gaslight,2,0,0,2,Gotham by Gaslight; Gotham by Gaslight: The Search For Ray Palmer
Gotham Nights I,4,0,0,4,Gotham Nights I #1; Gotham Nights I #2; Gotham Nights I #3; Gotham Nights I #4
Gotham Nights II,4,0,0,4,Gotham Nights II #1; Gotham Nights II #2; Gotham Nights II #3; Gotham Nights II #4
Gothic,5,0,0,5,Batman: Legends of the Dark Knight #06; Batman: Legends of the Dark Knight #07; Batman: Legends of the Dark Knight #08; Batman: Legends of the Dark Knight #09; Batman: Legends of the Dark Knight #10
Gothtopia,1,0,0,1,Detective Comics New 52 #29
Huntress - Spoiler,1,0,0,1,Batman: Huntress - Spoiler 01
Jazz,3,0,0,3,Batman - Jazz #01; Batman - Jazz #02; Batman - Jazz #03
Joker's Wild,4,0,0,4,Robin II #1; Robin II #2; Robin II #3; Robin II #4
Killer Croc,2,0,0,2,Batman #521; Batman #522
Knightfall,37,0,0,37,Batman Vengeance of Bane #1; Batman #484; Batman #485; Batman #486; Batman #487
Knightquest,37,0,0,37,Justice League Task Force #05; Justice League Task Force #06; Detective Comics #667; Detective Comics #668; Robin (Vol. 2) #001
Knightsend,34,0,0,34,Batman #509; Batman: Shadow of the Bat #29; Detective Comics #676; Batman: Legends of the Dark Knight #62; Robin (Vol. 2) #008
Legacy,7,7,0,7,Catwoman (Vol.2) #33; Catwoman (Vol.2) #34; Catwoman (Vol.2) #35; Batman #533; Catwoman (Vol.2) #36
Legend of the Dark Mite,1,0,0,1,Batman: Legends of the Dark Knight #38
Lifelines,4,0,0,4,Catwoman (Vol.2) #01; Catwoman (Vol.2) #02; Catwoman (Vol.2) #03; Catwoman (Vol.2) #04
