arc_id,arc_name,reading_order,series,issue_number,role,priority,collecting_status,ownership_status,owned_copy_count,matched_collection_rows,matched_formats,matched_notes,edition_review,source_url,notes
legacy,Batman: Legacy,001,Catwoman (Vol. 2),33,prequel,optional,review,owned,1,Batman row 150: Catwoman (Vol.2) #33 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,002,Catwoman (Vol. 2),34,prequel,optional,review,owned,1,Batman row 151: Catwoman (Vol.2) #34 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,003,Catwoman (Vol. 2),35,prequel,optional,review,owned,1,Batman row 152: Catwoman (Vol.2) #35 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,004,Batman: Bane of the Demon,1,prequel,optional,review,owned,1,Batman row 153: Batman - Bane Of The Demon #1 (Yes),Facsimile/Reprint?,,confirm_format,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,005,Batman: Bane of the Demon,2,prequel,optional,review,owned,1,Batman row 154: Batman - Bane Of The Demon #2 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,006,Batman: Bane of the Demon,3,prequel,optional,review,owned,1,Batman row 155: Batman - Bane Of The Demon #3 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,007,Batman: Bane of the Demon,4,prequel,optional,review,owned,1,Batman row 156: Batman - Bane Of The Demon #4 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prequel reading-order item.
legacy,Batman: Legacy,008,Batman: Shadow of the Bat,53,prelude,required,collect,in_collection_not_owned,0,Batman row 157: Batman: Shadow of the Bat #53 (No),,,,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prelude.
legacy,Batman: Legacy,009,Batman,533,prelude,required,collect,owned,1,Batman row 158: Batman #533 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Prelude.
legacy,Batman: Legacy,010,Detective Comics,700,core,required,collect,in_collection_not_owned,0,Batman row 159: Detective Comics #700 (No),,,,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 1.
legacy,Batman: Legacy,011,Catwoman (Vol. 2),36,core,required,collect,owned,1,Batman row 160: Catwoman (Vol.2) #36 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 2.
legacy,Batman: Legacy,012,Robin (Vol. 2),32,core,required,collect,in_collection_not_owned,0,Batman row 161: Robin (Vol. 2) #032 (No),,,,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 3.
legacy,Batman: Legacy,013,Batman: Shadow of the Bat,54,core,required,collect,in_collection_not_owned,0,Batman row 162: Batman: Shadow of the Bat #54 (No),,,,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 4.
legacy,Batman: Legacy,014,Batman,534,core,required,collect,owned,1,Batman row 163: Batman #534 (Yes),Original/Reprint Unknown,,confirm_format,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 5.
legacy,Batman: Legacy,015,Detective Comics,701,core,required,collect,in_collection_not_owned,0,Batman row 164: Detective Comics #701 (No),,,,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 6.
legacy,Batman: Legacy,016,Robin (Vol. 2),33,core,required,collect,in_collection_not_owned,0,Batman row 165: Robin (Vol. 2) #033 (No),,,,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Part 7.
legacy,Batman: Legacy,017,Detective Comics,702,epilogue,required,collect,in_collection_not_owned,0,Batman row 166: Detective Comics #702 (No),,,,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Epilogue.
legacy,Batman: Legacy,018,Batman: Bane,1,epilogue,optional,review,missing,0,,,,,https://en.wikipedia.org/wiki/Batman%3A_Legacy,Epilogue one-shot.
