source_tab,source_row,source_title,source_issue,source_story,owned_status,likely_canonical_candidate,reason_unresolved,confidence,recommended_manual_action
Batman,1,Batman The Last Halloween,0,Long Halloween,Yes,Batman: The Chalice (PUB-BAT-CHALICE),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,2,Batman The Last Halloween,1,Long Halloween,Yes,Batman: The Chalice (PUB-BAT-CHALICE),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,3,Batman The Last Halloween,2,Long Halloween,Yes,Batman: The Chalice (PUB-BAT-CHALICE),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,4,Batman The Last Halloween,3,Long Halloween,Yes,Batman: The Chalice (PUB-BAT-CHALICE),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,5,Batman The Last Halloween,4,Long Halloween,Yes,Batman: The Chalice (PUB-BAT-CHALICE),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,6,Batman The Last Halloween,5,Long Halloween,Yes,Batman: The Chalice (PUB-BAT-CHALICE),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,7,Batman The Last Halloween,6,Long Halloween,Yes,Batman: The Chalice (PUB-BAT-CHALICE),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,8,Batman The Last Halloween,7,Long Halloween,Yes,Batman: The Chalice (PUB-BAT-CHALICE),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,9,Batman The Last Halloween,8,Long Halloween,Yes,Batman: The Chalice (PUB-BAT-CHALICE),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
Batman,10,Batman The Last Halloween,9,Long Halloween,Yes,Batman: The Chalice (PUB-BAT-CHALICE),Owned Gotham-family/special-looking source row lacks a verified publication_id alias.,Low,Add or verify publication_aliases.csv and special_publications.csv mapping.
