focus_id,focus_name,source_file,reading_order,series,issue_number,display_name,role,priority,collecting_status,ownership_status,owned_in_sheet_count,matched_collection_rows,owned_original_issue_count,owned_facsimile_count,ordered_not_arrived_count,readable_copy_count,still_want_original,source_url,notes
zero_hour,Zero Hour,event_checklists.csv,001,Zero Hour: Crisis in Time,4,Zero Hour: Crisis in Time #4,core,required,collect,owned_in_sheet,1,Other row 2: Zero Hour: Crisis in Time #04,0,0,0,0,Review,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Core miniseries counts down from 4 to 0.
zero_hour,Zero Hour,event_checklists.csv,002,Zero Hour: Crisis in Time,3,Zero Hour: Crisis in Time #3,core,required,collect,owned_in_sheet,1,Other row 3: Zero Hour: Crisis in Time #03,0,0,0,0,Review,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Core miniseries counts down from 4 to 0.
zero_hour,Zero Hour,event_checklists.csv,003,Zero Hour: Crisis in Time,2,Zero Hour: Crisis in Time #2,core,required,collect,owned_in_sheet,1,Other row 4: Zero Hour: Crisis in Time #02,0,0,0,0,Review,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Core miniseries counts down from 4 to 0.
zero_hour,Zero Hour,event_checklists.csv,004,Zero Hour: Crisis in Time,1,Zero Hour: Crisis in Time #1,core,required,collect,owned_in_sheet,1,Other row 5: Zero Hour: Crisis in Time #01,0,0,0,0,Review,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Core miniseries counts down from 4 to 0.
zero_hour,Zero Hour,event_checklists.csv,005,Zero Hour: Crisis in Time,0,Zero Hour: Crisis in Time #0,core,required,collect,owned_in_sheet,1,Other row 6: Zero Hour: Crisis in Time #00,0,0,0,0,Review,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Core miniseries counts down from 4 to 0.
zero_hour,Zero Hour,event_checklists.csv,010,Showcase '94,8,Showcase '94 #8,prelude,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Prelude tie-in.
zero_hour,Zero Hour,event_checklists.csv,011,Showcase '94,9,Showcase '94 #9,prelude,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Prelude tie-in.
zero_hour,Zero Hour,event_checklists.csv,012,Showcase '94,10,Showcase '94 #10,prelude,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Prelude tie-in.
zero_hour,Zero Hour,event_checklists.csv,020,Action Comics,703,Action Comics #703,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,021,The Adventures of Superman,516,The Adventures of Superman #516,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,022,Anima,7,Anima #7,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,023,Batman,511,Batman #511,tie_in,local,collect,owned_in_sheet,1,Batman row 281: Batman #511,0,0,0,0,Review,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,local tie-in.
zero_hour,Zero Hour,event_checklists.csv,024,Batman: Shadow of the Bat,31,Batman: Shadow of the Bat #31,tie_in,local,collect,owned_in_sheet,1,Batman row 401: Batman: Shadow of the Bat #31,0,0,0,0,Review,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,local tie-in.
zero_hour,Zero Hour,event_checklists.csv,025,Catwoman (vol. 2),14,Catwoman (vol. 2) #14,tie_in,local,collect,owned_in_sheet,1,Batman row 425: Catwoman (Vol.2) #14,0,0,0,0,Review,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,local tie-in.
zero_hour,Zero Hour,event_checklists.csv,026,Damage,6,Damage #6,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,027,Darkstars,24,Darkstars #24,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,028,Detective Comics,678,Detective Comics #678,tie_in,local,collect,owned_in_sheet,1,Batman row 570: Detective Comics #678,0,0,0,0,Review,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,local tie-in.
zero_hour,Zero Hour,event_checklists.csv,029,Flash (vol. 3),94,Flash (vol. 3) #94,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,030,Green Arrow (vol. 2),90,Green Arrow (vol. 2) #90,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,031,Green Lantern (vol. 3),55,Green Lantern (vol. 3) #55,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,032,Guy Gardner: Warrior,24,Guy Gardner: Warrior #24,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
zero_hour,Zero Hour,event_checklists.csv,033,Hawkman (vol. 3),13,Hawkman (vol. 3) #13,tie_in,optional,review,missing,0,,0,0,0,0,Yes,https://en.wikipedia.org/wiki/Zero_Hour:_Crisis_in_Time!,Wider DC tie-in.
